Mountain,Name,Metric,Definition,Calculation,ResultRaster,ResultVector,DiffPct,FilterString
10087,Trara Range,KBAPA,GMBA,Area,0,0.0039615,-100,Range_Highland_KBAPA_GMBA_Area
10089,Tessala Mountains,KBAPA,GMBA,Area,0,47.0839462,-100,Range_Highland_KBAPA_GMBA_Area
11112,Anti-Taurus Mountains,KBAPA,GMBA,Area,0,1.661374517,-100,Range_Highland_KBAPA_GMBA_Area
11115,Albion Mountains,KBAPA,GMBA,Area,0,0.49874554,-100,Range_Highland_KBAPA_GMBA_Area
11120,Alishan,KBAPA,GMBA,Area,0,22.46620469,-100,Range_Highland_KBAPA_GMBA_Area
11155,Mount Barla,KBAPA,GMBA,Area,0,1.302991026,-100,Range_Highland_KBAPA_GMBA_Area
11156,Baschelak Range,KBAPA,GMBA,Area,0,0.083101634,-100,Range_Highland_KBAPA_GMBA_Area
11245,Cordillera Cutucu Occidental,KBAPA,GMBA,Area,0,1.903904733,-100,Range_Highland_KBAPA_GMBA_Area
11307,Dulit Range,KBAPA,GMBA,Area,0,5.903857908,-100,Range_Highland_KBAPA_GMBA_Area
11308,Dunstan Mountains,KBAPA,GMBA,Area,0,15.63839949,-100,Range_Highland_KBAPA_GMBA_Area
11343,Gangaw Range,KBAPA,GMBA,Area,0,0.037958285,-100,Range_Highland_KBAPA_GMBA_Area
11348,Nur Mountains,KBAPA,GMBA,Area,0,1.019146799,-100,Range_Highland_KBAPA_GMBA_Area
11368,Griva Mountains,KBAPA,GMBA,Area,0,2.745993347,-100,Range_Highland_KBAPA_GMBA_Area
11370,Grootrivierhoogte,KBAPA,GMBA,Area,0,11.40304276,-100,Range_Highland_KBAPA_GMBA_Area
11387,Hawkdun Range,KBAPA,GMBA,Area,0,16.18909085,-100,Range_Highland_KBAPA_GMBA_Area
11408,Halik Mountains,KBAPA,GMBA,Area,0,16.57594141,-100,Range_Highland_KBAPA_GMBA_Area
11422,Ikat Mountains,KBAPA,GMBA,Area,0,0.183475147,-100,Range_Highland_KBAPA_GMBA_Area
11441,Jiri Massif,KBAPA,GMBA,Area,0,36.65838879,-100,Range_Highland_KBAPA_GMBA_Area
11478,Chayatyn Range,KBAPA,GMBA,Area,0,21.05005922,-100,Range_Highland_KBAPA_GMBA_Area
11513,Terskey Ala-too,KBAPA,GMBA,Area,0,26.17462787,-100,Range_Highland_KBAPA_GMBA_Area
11528,Kirkliston Range,KBAPA,GMBA,Area,0,1.442759904,-100,Range_Highland_KBAPA_GMBA_Area
11574,Lemhi Range,KBAPA,GMBA,Area,0,0.051266378,-100,Range_Highland_KBAPA_GMBA_Area
11653,Mufu Mountains,KBAPA,GMBA,Area,0,26.36509344,-100,Range_Highland_KBAPA_GMBA_Area
11663,Nangang Shan,KBAPA,GMBA,Area,0,0.187782585,-100,Range_Highland_KBAPA_GMBA_Area
11718,Meratus Mountains,KBAPA,GMBA,Area,0,2.178847031,-100,Range_Highland_KBAPA_GMBA_Area
11722,Van Rees Mountains,KBAPA,GMBA,Area,0,0.82468001,-100,Range_Highland_KBAPA_GMBA_Area
11741,Pisa Range,KBAPA,GMBA,Area,0,7.743253253,-100,Range_Highland_KBAPA_GMBA_Area
11770,Raukumara Range,KBAPA,GMBA,Area,0,0.089403077,-100,Range_Highland_KBAPA_GMBA_Area
11811,Santa Ynez Mountains,KBAPA,GMBA,Area,0,1.52813053,-100,Range_Highland_KBAPA_GMBA_Area
11858,Serra Geral de Goiás,KBAPA,GMBA,Area,0,13.05778452,-100,Range_Highland_KBAPA_GMBA_Area
11864,Serranía de Maje,KBAPA,GMBA,Area,0,1.398631265,-100,Range_Highland_KBAPA_GMBA_Area
11893,Sierra de Chama,KBAPA,GMBA,Area,0,4.34684647,-100,Range_Highland_KBAPA_GMBA_Area
11993,The Hunter's Hills,KBAPA,GMBA,Area,0,0.436613501,-100,Range_Highland_KBAPA_GMBA_Area
12018,Türgen Uul,KBAPA,GMBA,Area,0,10.45704427,-100,Range_Highland_KBAPA_GMBA_Area
12035,Verkhneangar Mountains,KBAPA,GMBA,Area,0,44.39782582,-100,Range_Highland_KBAPA_GMBA_Area
12039,Victoria Range,KBAPA,GMBA,Area,0,1.963631272,-100,Range_Highland_KBAPA_GMBA_Area
12074,Lesser Khingan,KBAPA,GMBA,Area,0,0.663670828,-100,Range_Highland_KBAPA_GMBA_Area
12081,Mount Yamanlar,KBAPA,GMBA,Area,0,0.637422551,-100,Range_Highland_KBAPA_GMBA_Area
12096,Western Sakhalin Mountains,KBAPA,GMBA,Area,0,15.87374653,-100,Range_Highland_KBAPA_GMBA_Area
12119,Küre Mountains,KBAPA,GMBA,Area,0,0.488108885,-100,Range_Highland_KBAPA_GMBA_Area
12288,Volcanic formations of Itasy,KBAPA,GMBA,Area,0,0.010854739,-100,Range_Highland_KBAPA_GMBA_Area
12461,Monte Linas Massif,KBAPA,GMBA,Area,0,19.42495445,-100,Range_Highland_KBAPA_GMBA_Area
12573,Cordillera de Oncol,KBAPA,GMBA,Area,0,16.14630862,-100,Range_Highland_KBAPA_GMBA_Area
12575,Cordillera Negra (Peru),KBAPA,GMBA,Area,0,0.150011388,-100,Range_Highland_KBAPA_GMBA_Area
12678,Analavelona Massif,KBAPA,GMBA,Area,0,4.761269123,-100,Range_Highland_KBAPA_GMBA_Area
12770,Ambon,KBAPA,GMBA,Area,0,0.952826147,-100,Range_Highland_KBAPA_GMBA_Area
12778,Yunt Mountains,KBAPA,GMBA,Area,0,2.844722456,-100,Range_Highland_KBAPA_GMBA_Area
12815,Sierra de Baza,KBAPA,GMBA,Area,0,0.034154329,-100,Range_Highland_KBAPA_GMBA_Area
12996,Hodna Mountains,KBAPA,GMBA,Area,0,3.305638118,-100,Range_Highland_KBAPA_GMBA_Area
12999,Ouled Naïl Range,KBAPA,GMBA,Area,0,1.655098528,-100,Range_Highland_KBAPA_GMBA_Area
13022,Jbel Saghro,KBAPA,GMBA,Area,0,10.91183904,-100,Range_Highland_KBAPA_GMBA_Area
13047,Serra de Amambai,KBAPA,GMBA,Area,0,74.47905907,-100,Range_Highland_KBAPA_GMBA_Area
13107,Mount Kulal,KBAPA,GMBA,Area,0,13.34123408,-100,Range_Highland_KBAPA_GMBA_Area
13121,Marungu Highlands,KBAPA,GMBA,Area,0,3.151747279,-100,Range_Highland_KBAPA_GMBA_Area
13550,Waterfall Range,KBAPA,GMBA,Area,0,1.094941396,-100,Range_Highland_KBAPA_GMBA_Area
13554,Otago Coast Forest*,KBAPA,GMBA,Area,0,0.030521671,-100,Range_Highland_KBAPA_GMBA_Area
13567,Lintley Range,KBAPA,GMBA,Area,0,2.48273675,-100,Range_Highland_KBAPA_GMBA_Area
13611,Benmore Range,KBAPA,GMBA,Area,0,1.277795651,-100,Range_Highland_KBAPA_GMBA_Area
13649,Ben McLeod Range,KBAPA,GMBA,Area,0,0.157424254,-100,Range_Highland_KBAPA_GMBA_Area
13650,Peter Range,KBAPA,GMBA,Area,0,0.903657449,-100,Range_Highland_KBAPA_GMBA_Area
13660,Harper Range,KBAPA,GMBA,Area,0,0.381639478,-100,Range_Highland_KBAPA_GMBA_Area
13676,Mount Somers Range,KBAPA,GMBA,Area,0,6.438725714,-100,Range_Highland_KBAPA_GMBA_Area
13690,Armoury Range,KBAPA,GMBA,Area,0,1.312722428,-100,Range_Highland_KBAPA_GMBA_Area
13691,Blackhill Range,KBAPA,GMBA,Area,0,1.360418984,-100,Range_Highland_KBAPA_GMBA_Area
13692,Froude Range,KBAPA,GMBA,Area,0,5.99609148,-100,Range_Highland_KBAPA_GMBA_Area
13701,Torlesse Range,KBAPA,GMBA,Area,0,0.511895421,-100,Range_Highland_KBAPA_GMBA_Area
13715,Okuku Range,KBAPA,GMBA,Area,0,3.462517318,-100,Range_Highland_KBAPA_GMBA_Area
13738,Big Ben Range,KBAPA,GMBA,Area,0,12.08992518,-100,Range_Highland_KBAPA_GMBA_Area
13753,Culverden Range,KBAPA,GMBA,Area,0,0.722364577,-100,Range_Highland_KBAPA_GMBA_Area
13759,Organ Range,KBAPA,GMBA,Area,0,0.281113746,-100,Range_Highland_KBAPA_GMBA_Area
13763,Black Hills,KBAPA,GMBA,Area,0,2.157050525,-100,Range_Highland_KBAPA_GMBA_Area
13764,Poplars Range,KBAPA,GMBA,Area,0,0.488164055,-100,Range_Highland_KBAPA_GMBA_Area
13770,Amuri Range,KBAPA,GMBA,Area,0,2.156035333,-100,Range_Highland_KBAPA_GMBA_Area
13772,Boddington Range,KBAPA,GMBA,Area,0,0.238849832,-100,Range_Highland_KBAPA_GMBA_Area
