"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
16700,4220792.60445527,4206361.91518113,1997,FALSE,1,0.996581047536213,"IOT","British Indian Ocean Territory"
16701,741775.439921965,741775.439921965,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
16702,217962.438849568,217962.438849568,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
16703,91941.021646658,91941.021646658,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
16704,82372.7164637814,82372.7164637814,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
16705,255012.742106058,255012.742106058,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
17501,290773.845426111,290773.845426111,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
17502,114601.326908651,114601.326908651,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
17503,88324.180799651,88324.180799651,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
17504,215928.550308109,215928.550308109,1998,FALSE,1,1,"IOT","British Indian Ocean Territory"
NA,0,0,0,FALSE,0,NA,"IOT","British Indian Ocean Territory"
NA,0,0,0,FALSE,0,NA,"IOT","British Indian Ocean Territory"
NA,0,0,0,FALSE,0,NA,"IOT","British Indian Ocean Territory"
