"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
20880,171929448.178635,21695832.1181523,2008,FALSE,1,0.126190320203961,"SLV","El Salvador"
20885,49913155.3682497,3104203.17187002,1994,FALSE,2,0.0621920844107691,"SLV","El Salvador"
20885,49913155.3682497,149744.258880997,2005,FALSE,1,0.0030000960223054,"SLV","El Salvador"
20885,49913155.3682497,45564916.5264725,2007,FALSE,1,0.912883911872598,"SLV","El Salvador"
20886,161389085.209167,142650631.912957,2007,FALSE,2,0.883892685357723,"SLV","El Salvador"
20887,43904361.8862014,1793551.91334705,1994,FALSE,1,0.0408513376870361,"SLV","El Salvador"
20888,95776745.3677711,14152036.3657175,1994,FALSE,3,0.14776067312974,"SLV","El Salvador"
20888,95776745.3677711,36402.0169090033,2007,FALSE,1,0.000380071558802963,"SLV","El Salvador"
20889,78999471.1028529,0,0,FALSE,0,0,"SLV","El Salvador"
20890,98051037.8423967,12598542.2224082,2010,FALSE,1,0.128489636618213,"SLV","El Salvador"
20891,83038209.6292221,18394363.0852483,2009,FALSE,1,0.221516855522076,"SLV","El Salvador"
20891,83038209.6292221,63144987.5769901,2010,FALSE,1,0.760432912257404,"SLV","El Salvador"
20892,314314972.918736,305347734.493734,2005,FALSE,1,0.971470533707853,"SLV","El Salvador"
20892,314314972.918736,353003.536238015,2007,FALSE,1,0.00112308851519231,"SLV","El Salvador"
20893,112147981.857955,46303834.6095815,2005,FALSE,1,0.412881568107302,"SLV","El Salvador"
20893,112147981.857955,6289545.52329922,2015,FALSE,1,0.0560825564499724,"SLV","El Salvador"
20894,91681208.8463368,32571671.8177349,1994,FALSE,2,0.35527096803803,"SLV","El Salvador"
20894,91681208.8463368,15436507.6906096,1997,FALSE,1,0.168371554922253,"SLV","El Salvador"
20894,91681208.8463368,NA,1999,FALSE,1,NA,"SLV","El Salvador"
20894,91681208.8463368,226009.218277454,2011,FALSE,1,0.00246516403002778,"SLV","El Salvador"
20895,1059550629.2342,413821401.600812,1994,FALSE,8,0.390563121933971,"SLV","El Salvador"
20895,1059550629.2342,189354733.830555,2005,FALSE,1,0.178712303693702,"SLV","El Salvador"
20895,1059550629.2342,217795398.660154,2007,FALSE,1,0.205554498908247,"SLV","El Salvador"
20895,1059550629.2342,217128221.480815,2011,FALSE,1,0.204924819531981,"SLV","El Salvador"
20895,1059550629.2342,NA,2018,FALSE,1,NA,"SLV","El Salvador"
20896,31024569.2316148,7297560.28666437,1994,FALSE,1,0.235218746541949,"SLV","El Salvador"
20897,100489939.358909,10964193.1356981,1994,FALSE,2,0.109107371401017,"SLV","El Salvador"
20898,72362066.374155,60822279.9503942,2010,FALSE,1,0.840527129724387,"SLV","El Salvador"
20898,72362066.374155,NA,2011,FALSE,1,NA,"SLV","El Salvador"
20899,223451058.372512,79007565.3959403,1994,FALSE,2,0.353578837224516,"SLV","El Salvador"
20900,62447006.9895513,227382.261062324,1994,FALSE,1,0.00364120351036792,"SLV","El Salvador"
20900,62447006.9895513,710.950100831687,2010,FALSE,1,1.13848546968895e-05,"SLV","El Salvador"
20902,70367691.3040818,0,0,FALSE,0,0,"SLV","El Salvador"
21867,60750010.7529267,21181963.0992918,1994,FALSE,2,0.348674227983924,"SLV","El Salvador"
21867,60750010.7529267,19629437.0951989,2014,FALSE,1,0.323118248900939,"SLV","El Salvador"
20883,220931700.825513,0,0,FALSE,0,0,"SLV","El Salvador"
