"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
31342,798253063.085133,232459.594293006,1998,TRUE,1,0.000291210400614791,"SLB","Solomon Islands"
31342,798253063.085133,7371611.09232461,2004,TRUE,1,0.00923467936826249,"SLB","Solomon Islands"
31342,798253063.085133,2368491.55688687,2005,TRUE,1,0.00296709360278931,"SLB","Solomon Islands"
31342,798253063.085133,1880955.60287835,2011,TRUE,2,0.00235633997520627,"SLB","Solomon Islands"
45047,32880011.208244,0,0,FALSE,0,0,"SLB","Solomon Islands"
45050,786279877.190411,0,0,FALSE,0,0,"SLB","Solomon Islands"
45052,1557415248.71669,0,0,FALSE,0,0,"SLB","Solomon Islands"
45057,124626424.5677,0,0,FALSE,0,0,"SLB","Solomon Islands"
45063,54691902.6160793,0,0,FALSE,0,0,"SLB","Solomon Islands"
45064,199536862.480765,0,0,FALSE,0,0,"SLB","Solomon Islands"
45069,7929438.23668659,0,0,FALSE,0,0,"SLB","Solomon Islands"
45049,16659397.6415883,0,0,FALSE,0,0,"SLB","Solomon Islands"
45071,99866567.9756988,0,0,FALSE,0,0,"SLB","Solomon Islands"
45055,571718500.173357,0,0,FALSE,0,0,"SLB","Solomon Islands"
45059,2047942705.84197,104202059.334415,1995,FALSE,1,0.0508813352234749,"SLB","Solomon Islands"
45059,2047942705.84197,780547821.861535,2007,FALSE,1,0.381137528718426,"SLB","Solomon Islands"
45054,147624813.57925,0,0,FALSE,0,0,"SLB","Solomon Islands"
45058,741841729.321911,4177244.62616709,2006,FALSE,3,0.0056309108278195,"SLB","Solomon Islands"
45058,741841729.321911,871181.535752863,2007,FALSE,1,0.00117434959684618,"SLB","Solomon Islands"
45062,73905196.126474,0,0,FALSE,0,0,"SLB","Solomon Islands"
45067,658013859.314555,0,0,FALSE,0,0,"SLB","Solomon Islands"
45051,636000601.852368,0,0,FALSE,0,0,"SLB","Solomon Islands"
45061,289459705.300793,0,0,FALSE,0,0,"SLB","Solomon Islands"
45065,637998994.42996,2383518.01932009,2004,FALSE,3,0.00373592754867853,"SLB","Solomon Islands"
45065,637998994.42996,30517.857269153,2005,FALSE,1,4.78337074753858e-05,"SLB","Solomon Islands"
45065,637998994.42996,18160895.3963379,2011,FALSE,15,0.0284653981509239,"SLB","Solomon Islands"
45068,41416459.8614327,0,0,FALSE,0,0,"SLB","Solomon Islands"
45048,954049321.688876,0,0,FALSE,0,0,"SLB","Solomon Islands"
45070,136288224.42677,0,0,FALSE,0,0,"SLB","Solomon Islands"
45066,244275158.711674,0,0,FALSE,0,0,"SLB","Solomon Islands"
45056,3605961.98037765,0,0,FALSE,0,0,"SLB","Solomon Islands"
45053,12224868.8785547,0,0,FALSE,0,0,"SLB","Solomon Islands"
45060,5897081.25972894,0,0,FALSE,0,0,"SLB","Solomon Islands"
23641,312643381.31965,0,0,FALSE,0,0,"SLB","Solomon Islands"
23642,125674677.585181,125307593.726211,2002,FALSE,1,0.997079094484087,"SLB","Solomon Islands"
30036,333056043.485395,324565804.97082,1998,FALSE,1,0.974508078503169,"SLB","Solomon Islands"
27491,583786457.163667,0,0,FALSE,0,0,"SLB","Solomon Islands"
27490,783984495.003967,0,0,FALSE,0,0,"SLB","Solomon Islands"
27489,146407163.421165,0,0,FALSE,0,0,"SLB","Solomon Islands"
26705,3761462208.71418,0,0,FALSE,0,0,"SLB","Solomon Islands"
29787,178072810.620903,0,0,FALSE,0,0,"SLB","Solomon Islands"
29785,128622853.710535,25351863.3593576,1998,FALSE,6,0.197102323793964,"SLB","Solomon Islands"
29785,128622853.710535,728735.012606978,2011,FALSE,1,0.00566567286904543,"SLB","Solomon Islands"
29786,547309405.287309,0,0,FALSE,0,0,"SLB","Solomon Islands"
23640,1825502620.10874,0,0,FALSE,0,0,"SLB","Solomon Islands"
