"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
3260,1909130.93419552,1909130.93419552,1979,FALSE,1,1,"CHE","Switzerland"
3261,4583806.26602471,4583806.26602471,1979,FALSE,1,1,"CHE","Switzerland"
3262,3678739.68265651,3678739.68265651,1979,FALSE,1,1,"CHE","Switzerland"
3263,3690037.80458042,3690037.80458042,1979,FALSE,1,1,"CHE","Switzerland"
3264,7641282.57043286,7641282.57043286,1979,FALSE,1,1,"CHE","Switzerland"
3265,59346614.4727467,11640335.2725026,1976,FALSE,2,0.196141521734962,"CHE","Switzerland"
3265,59346614.4727467,47706280.7565767,1979,FALSE,1,0.803858504489493,"CHE","Switzerland"
3266,63583503.4966897,63583503.4966897,1979,FALSE,1,1,"CHE","Switzerland"
3267,21111650.3003668,21111650.3003668,1979,FALSE,1,1,"CHE","Switzerland"
3268,36410369.9443781,36410369.9443781,1979,FALSE,1,1,"CHE","Switzerland"
3269,19290268.9908104,19290268.9908104,1979,FALSE,1,1,"CHE","Switzerland"
3270,15188994.3296261,15188994.3296261,1979,FALSE,1,1,"CHE","Switzerland"
3271,314505330.298536,314505330.298536,1979,FALSE,1,1,"CHE","Switzerland"
3272,229538732.549123,229538732.549123,1979,FALSE,1,1,"CHE","Switzerland"
3273,372767514.446828,372767514.446828,1979,FALSE,1,1,"CHE","Switzerland"
3274,229116958.547449,229116958.547449,1979,FALSE,1,1,"CHE","Switzerland"
3275,166247708.036248,263405.984721445,1976,FALSE,2,0.00158441874377006,"CHE","Switzerland"
3275,166247708.036248,165984298.986947,1979,FALSE,1,0.998415562822414,"CHE","Switzerland"
3276,374309821.262982,374309821.262982,1979,FALSE,1,1,"CHE","Switzerland"
3277,168018861.646031,168018861.646031,1979,FALSE,1,1,"CHE","Switzerland"
3278,158710587.555115,158710587.555115,1979,FALSE,1,1,"CHE","Switzerland"
3279,395768143.916126,395768143.916126,1979,FALSE,1,1,"CHE","Switzerland"
3280,280124173.868367,280124173.868367,1979,FALSE,1,1,"CHE","Switzerland"
3281,220558278.032061,220558278.032061,1979,FALSE,1,1,"CHE","Switzerland"
3282,48361589.0847536,48361589.0847536,1979,FALSE,1,1,"CHE","Switzerland"
3283,288933111.091258,288933111.091258,1979,FALSE,1,1,"CHE","Switzerland"
3284,1008582253.44885,170311948.862184,1914,FALSE,1,0.168862726148316,"CHE","Switzerland"
3284,1008582253.44885,838270322.312126,1979,FALSE,1,0.831137291426316,"CHE","Switzerland"
3285,197333906.405532,197333906.405532,1979,FALSE,1,1,"CHE","Switzerland"
3286,147820746.134796,147820746.134796,1979,FALSE,1,1,"CHE","Switzerland"
3287,96576209.4692122,96576209.4692122,1979,FALSE,1,1,"CHE","Switzerland"
3288,108408208.331398,108408208.331398,1979,FALSE,1,1,"CHE","Switzerland"
3289,359946988.418235,359946988.418235,1979,FALSE,1,1,"CHE","Switzerland"
3290,62127948.3268996,62127948.3268996,1979,FALSE,1,1,"CHE","Switzerland"
