"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
7137,23428900.8288723,1658445.03206741,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0707862927151772
7137,23428900.8288723,21757117.6334627,2007,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.928644403439135
7140,26223091.8057938,25282042.5566826,1971,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.964113718699514
7141,74738464.2889446,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
7142,30972538.15433,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
7143,57352250.7764899,50666325.8937644,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.883423496162661
31598,122571067.870613,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45522,287596639.599874,43332621.8799641,1982,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",0.150671516677843
45522,287596639.599874,3757181.34953279,1989,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0130640655424905
45527,500659044.409415,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45528,789289535.287611,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45529,3231819232.54547,1571405.28314114,1967,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.000486229324745819
45529,3231819232.54547,1731374.45074638,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.000535727503973884
45529,3231819232.54547,448861.500684738,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.000138888182904711
45529,3231819232.54547,8579450.6714108,1999,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.00265468148249535
45529,3231819232.54547,43488883.7085875,2007,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0134564715967528
45529,3231819232.54547,101656380.485234,2015,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0314548473075229
45530,145309300.215542,29142149.5157761,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.200552541871364
45530,145309300.215542,28553265.7351875,2013,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",0.196499919088685
45533,3133952.82591081,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45541,73121805.0295547,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45564,9371755.50112824,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45566,1951535450.65321,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
45567,1724693704.25,27297167.0513374,1971,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0158272549984218
45567,1724693704.25,1653312.92637813,2015,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.000958612490034624
45568,1018899168.57046,2824090.16064064,1976,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0027717071990577
45569,483846901.120039,928462.287554204,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.00191891750346017
45570,823055967.387124,35027538.2309523,1975,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.0425579056818589
7133,8920572.41185308,0,0,FALSE,0,"18285","ZAF","Eastern Cape Hills","ZAF",0
7128,52419147.5984497,24634659.1865929,1994,FALSE,1,"18285","ZAF","Eastern Cape Hills","ZAF",0.469955356300404
7128,52419147.5984497,6388679.67014862,2013,FALSE,2,"18285","ZAF","Eastern Cape Hills","ZAF",0.121876832471377
