"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1038,104780344.746097,18689762.3541101,1995,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.178370880525341
1038,104780344.746097,21332.8125998275,2001,FALSE,2,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.000203595556509392
1038,104780344.746097,43702713.9813031,2010,FALSE,2,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.417088854662611
1118,291959440.958309,1456955.72170833,1982,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.00499026754170411
1118,291959440.958309,15422052.1518544,1996,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.0528225841960583
1118,291959440.958309,1427718.85843258,1998,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.00489012738805885
1118,291959440.958309,80373984.4700655,2006,FALSE,2,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.275291609705276
1118,291959440.958309,192439274.214072,2010,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",FALSE,"18416",TRUE,"",0.659130164047517
1136,275883779.495463,35749158.8719797,1980,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"18416;19884;19885;19901",TRUE,"",0.129580502838398
1136,275883779.495463,123670984.619441,2010,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"18416;19884;19885;19901",TRUE,"",0.448272039935115
1142,281365274.564332,13282362.7503027,1976,FALSE,3,"18416","GRC","Agrafa Mountains","GRC",TRUE,"11693;18416;19896;19897;19902",TRUE,"",0.0472068302347161
1142,281365274.564332,837242.395340651,1985,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"11693;18416;19896;19897;19902",TRUE,"",0.00297564223814414
1142,281365274.564332,11898204.4735742,1987,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"11693;18416;19896;19897;19902",TRUE,"",0.0422873948890724
1142,281365274.564332,90374241.8380656,1997,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"11693;18416;19896;19897;19902",TRUE,"",0.32119898938489
1142,281365274.564332,156500421.579788,2006,FALSE,1,"18416","GRC","Agrafa Mountains","GRC",TRUE,"11693;18416;19896;19897;19902",TRUE,"",0.55621796905149
