"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
26022,18548621.1992207,11597292.6177082,1976,FALSE,1,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17074;21055",TRUE,"",0.625237449897105
26239,275076428.10168,114085830.34109,1980,FALSE,1,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17072;17078;21055",TRUE,"",0.414742299543453
31098,3266808840.9697,993535.049667092,1966,TRUE,1,"21055","USA","Alexander Archipelago (nn)","USA",FALSE,"21055",TRUE,"",0.000304130145972109
31098,3266808840.9697,714289.257781501,1980,TRUE,2,"21055","USA","Alexander Archipelago (nn)","USA",FALSE,"21055",TRUE,"",0.000218650460603466
31108,1467056517.37938,8870.84958180785,1970,TRUE,1,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17071;17072;21055",TRUE,"",6.04669927621734e-06
31108,1467056517.37938,868571.753105156,1973,TRUE,1,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17071;17072;21055",TRUE,"",0.000592050642095707
31108,1467056517.37938,4078243.69492599,1980,TRUE,3,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17071;17072;21055",TRUE,"",0.00277988178820199
31108,1467056517.37938,25849988.0616793,2002,TRUE,1,"21055","USA","Alexander Archipelago (nn)","USA",TRUE,"17071;17072;21055",TRUE,"",0.0176203082536011
31162,309293038.799699,263175.899979301,1970,FALSE,1,"21055","USA","Alexander Archipelago (nn)","USA",FALSE,"21055",TRUE,"",0.000850894999126495
31162,309293038.799699,11.0804434966232,1980,FALSE,1,"21055","USA","Alexander Archipelago (nn)","USA",FALSE,"21055",TRUE,"",3.58250658974547e-08
