"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
45357,2977784934.46793,589384513.232838,1958,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.197927159349454
45357,2977784934.46793,20211668.3685581,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.00678748425872116
45391,3493199.52835077,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
22460,11840167.7559009,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
45395,1935221.56690884,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
23315,12120058.6304926,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
45371,8652432.23169011,6729318.70177561,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.777737232905336
45383,79629373.439365,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
45387,7655888.90389191,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
22514,68907063.2756237,68469673.7470446,2010,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",TRUE,"12289;15333",TRUE,"",0.993652471781745
6575,163426769.999754,8873280.29180315,1970,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0542951457207194
6575,163426769.999754,154553489.707951,1989,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.945704854279281
6568,638989931.780428,2285.92045738176,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",3.57739667511264e-06
6568,638989931.780428,638935055.69768,2007,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.999914120583097
6564,248656531.324153,234072871.01192,1958,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.941350181977637
6570,107209545.71723,107209545.71723,1958,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",1
22474,157963702.443012,3519211.36038709,1989,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0222786077178502
22453,77823391.6108479,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
47052,28416491.2738726,28416491.2738726,2010,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",1
27111,457669241.622143,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
22508,4167605774.31131,134919234.861411,1958,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0323733198790153
22508,4167605774.31131,86793412.8078845,1989,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0208257252504232
22508,4167605774.31131,20224083.6888604,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.00485268635856097
22508,4167605774.31131,38308937.5710362,2005,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0091920732539456
6569,29158586.7861004,24352623.3975513,1927,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.835178452789761
6571,401561093.396248,20475981.5625349,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0509909498187611
6566,520623724.575008,0,0,FALSE,0,"15333","MDG","Betsimisaraka Escarpment","MDG",NA,NA,NA,"no pas overlapping kba",0
6572,4252268030.11784,76784958.0319235,1958,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0180574125356335
6572,4252268030.11784,107817451.716066,1989,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.0253552812175571
6572,4252268030.11784,33543559.4039892,2003,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.00788839253932439
6572,4252268030.11784,13136375.8676345,2005,FALSE,1,"15333","MDG","Betsimisaraka Escarpment","MDG",FALSE,"15333",TRUE,"",0.00308926337065128
