"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
2549,23100981.8968976,23069200.0514377,1971,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.99862422101356
2647,2612228.03365561,2217502.94940266,2003,FALSE,1,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.848893328159959
2650,3550387.18875057,3367682.28223273,1980,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.94853944181166
2650,3550387.18875057,182704.904530525,2003,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.0514605576285954
2652,72036121.8291891,9785.28457129002,1990,FALSE,1,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.000135838581017628
2652,72036121.8291891,52179613.7175591,2003,FALSE,1,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.724353454802669
2667,10350139.6627369,213258.83229655,1971,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.0206044400602956
2667,10350139.6627369,9792284.07693312,1980,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.946101636887839
2667,10350139.6627369,344596.696558952,2003,FALSE,1,"12454","GBR","Cairngorms","GBR",TRUE,"12454;19468",TRUE,"",0.0332939175496913
2668,43605333.1467986,43518120.7952401,1971,FALSE,1,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.997999961351862
2694,3111971.85178277,982816.204977423,2000,FALSE,2,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.315817832482769
20814,6544175.93032694,6533862.09012355,1977,FALSE,1,"12454","GBR","Cairngorms","GBR",FALSE,"12454",TRUE,"",0.998423966544728
