"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
1950,453983831.617619,83124801.627289,1992,FALSE,4,"12718","ESP","Catalan Mediterranean System","ESP",0.18310079751321
1950,453983831.617619,179479.355775774,1999,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.000395343056901959
1950,453983831.617619,360501319.760726,2001,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.794084050253951
1950,453983831.617619,226322.638343599,2005,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.000498525768059127
1950,453983831.617619,47194.6573905436,2006,FALSE,7,"12718","ESP","Catalan Mediterranean System","ESP",0.000103956692075093
1788,72217192.4310828,5613576.33174281,1992,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.0777318550163782
1788,72217192.4310828,1781655.47741888,2001,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.0246707939957527
1788,72217192.4310828,42653197.0277844,2006,FALSE,3,"12718","ESP","Catalan Mediterranean System","ESP",0.590623861049272
1792,1118023850.45172,129109763.767796,1987,FALSE,3,"12718","ESP","Catalan Mediterranean System","ESP",0.115480330509614
1792,1118023850.45172,212992186.07804,1992,FALSE,10,"12718","ESP","Catalan Mediterranean System","ESP",0.190507730217012
1792,1118023850.45172,51368.2598043453,2005,FALSE,3,"12718","ESP","Catalan Mediterranean System","ESP",4.59455849565203e-05
1792,1118023850.45172,156.919004338153,2006,FALSE,4,"12718","ESP","Catalan Mediterranean System","ESP",1.40353896989544e-07
1792,1118023850.45172,1309964.74892078,2008,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.00117167871543305
1792,1118023850.45172,6894028.86316759,2009,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.00616626278623858
1792,1118023850.45172,4321.87369742863,2014,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",3.86563640452076e-06
1919,37561698.6806502,3150256.23406614,1987,FALSE,2,"12718","ESP","Catalan Mediterranean System","ESP",0.0838688436550657
1919,37561698.6806502,5780966.02234088,1992,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.153905872881061
1919,37561698.6806502,5254.51013753489,1994,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.000139890109395977
1919,37561698.6806502,0.0178592849556787,2006,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",4.7546531661197e-10
1919,37561698.6806502,7552.19691467285,2014,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.000201061112248455
1917,511704679.190536,306739368.821269,1992,FALSE,5,"12718","ESP","Catalan Mediterranean System","ESP",0.5994460893078
1917,511704679.190536,15350.1393293943,2005,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",2.99980437030137e-05
1917,511704679.190536,14712.1339310799,2006,FALSE,4,"12718","ESP","Catalan Mediterranean System","ESP",2.87512202435846e-05
1917,511704679.190536,0.0712000677459192,2008,FALSE,3,"12718","ESP","Catalan Mediterranean System","ESP",1.391428897202e-10
1930,1222848459.91032,51084.6922456026,1988,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",4.17751617803476e-05
1930,1222848459.91032,509340880.289593,1992,FALSE,11,"12718","ESP","Catalan Mediterranean System","ESP",0.416520032520583
1930,1222848459.91032,50243628.7548349,2003,FALSE,5,"12718","ESP","Catalan Mediterranean System","ESP",0.0410873713317834
1930,1222848459.91032,31.5304881185148,2005,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",2.57844607506208e-08
1930,1222848459.91032,43925.6644708275,2006,FALSE,10,"12718","ESP","Catalan Mediterranean System","ESP",3.59207750681134e-05
1930,1222848459.91032,0.0860967689490622,2008,FALSE,7,"12718","ESP","Catalan Mediterranean System","ESP",7.04067362160116e-11
1930,1222848459.91032,959.348572335313,2010,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",7.84519589946302e-07
1930,1222848459.91032,2140.8005651764,2013,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",1.75066709846729e-06
1793,234224204.679325,14188677.8843056,1987,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.0605773340280148
1793,234224204.679325,60641998.1550328,1988,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.258905770383796
1793,234224204.679325,2534659.31413789,1990,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.0108215088940448
1793,234224204.679325,71259782.3376227,1992,FALSE,4,"12718","ESP","Catalan Mediterranean System","ESP",0.304237482352364
1793,234224204.679325,2025.73147966206,2006,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",8.6486854867774e-06
1793,234224204.679325,0.00233309335453669,2008,FALSE,2,"12718","ESP","Catalan Mediterranean System","ESP",9.96094044904926e-12
1810,807440637.737031,18861393.1520133,1984,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",0.0233594796576936
1810,807440637.737031,501864619.30867,1992,FALSE,5,"12718","ESP","Catalan Mediterranean System","ESP",0.621549864910463
1810,807440637.737031,NA,1998,FALSE,2,"12718","ESP","Catalan Mediterranean System","ESP",NA
1810,807440637.737031,16.8750207750127,2002,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",2.08993949354684e-08
1810,807440637.737031,9365.80166070119,2005,FALSE,2,"12718","ESP","Catalan Mediterranean System","ESP",1.15993687002802e-05
1810,807440637.737031,7749.05728614832,2006,FALSE,4,"12718","ESP","Catalan Mediterranean System","ESP",9.59706128721261e-06
1810,807440637.737031,0.145857961344298,2008,FALSE,2,"12718","ESP","Catalan Mediterranean System","ESP",1.80642333971555e-10
1918,744505662.654648,404516947.246709,1992,FALSE,11,"12718","ESP","Catalan Mediterranean System","ESP",0.543336293513661
1918,744505662.654648,NA,1995,FALSE,1,"12718","ESP","Catalan Mediterranean System","ESP",NA
1918,744505662.654648,10462.7380857621,2005,FALSE,3,"12718","ESP","Catalan Mediterranean System","ESP",1.40532686460109e-05
1918,744505662.654648,743.064825652312,2006,FALSE,5,"12718","ESP","Catalan Mediterranean System","ESP",9.98064706456095e-07
