"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44819,335785970.461942,0,0,FALSE,0,"15235","IDN","Central Sulawesi Highlands*","IDN",NA,NA,NA,"no pas overlapping kba",0
44798,71358636.2421268,0,0,FALSE,0,"15235","IDN","Central Sulawesi Highlands*","IDN",NA,NA,NA,"no pas overlapping kba",0
44842,2588168527.29478,1084606561.80532,2009,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",FALSE,"15235",TRUE,"",0.419063345515208
44843,176579308.920143,0,0,FALSE,0,"15235","IDN","Central Sulawesi Highlands*","IDN",NA,NA,NA,"no pas overlapping kba",0
44799,1625302535.12004,327755742.388677,2009,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",FALSE,"15235",TRUE,"",0.201658297643934
16386,1457181146.01293,0,0,FALSE,0,"15235","IDN","Central Sulawesi Highlands*","IDN",NA,NA,NA,"no pas overlapping kba",0
16372,3907722819.40403,3737801.71866787,1997,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"15234;15235",TRUE,"",0.000956516593272072
16372,3907722819.40403,73069376.0335754,2007,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"15234;15235",TRUE,"",0.0186987100699019
16372,3907722819.40403,49627167.5283322,2009,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"15234;15235",TRUE,"",0.012699766544829
16372,3907722819.40403,3485630.74593351,2014,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"15234;15235",TRUE,"",0.000891985155299504
44796,100319522.701656,599754.497483179,2018,FALSE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",FALSE,"15235",TRUE,"",0.0059784424938585
44795,80667990.5577491,0,0,FALSE,0,"15235","IDN","Central Sulawesi Highlands*","IDN",NA,NA,NA,"no pas overlapping kba",0
44800,681366888.917601,266010085.053063,1999,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"12747;15235",TRUE,"",0.390406533366538
44800,681366888.917601,34253777.8339601,2009,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",TRUE,"12747;15235",TRUE,"",0.0502721491036564
16370,2496920572.26614,2056969673.57524,1997,TRUE,1,"15235","IDN","Central Sulawesi Highlands*","IDN",FALSE,"15235",TRUE,"",0.823802605666544
