"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
14701,68819064.1832647,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","PER",NA,NA,NA,"no pas overlapping kba",0
14731,653448867.083028,649562601.012888,1975,FALSE,2,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","PER",FALSE,"12720",TRUE,"",0.994052685273619
19122,1516688576.11402,1513907317.80781,1975,FALSE,2,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","PER",FALSE,"12720",TRUE,"",0.998166229804847
14432,3440548.46174873,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","COL",NA,NA,NA,"no pas overlapping kba",0
14448,71174409.1408732,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","COL",NA,NA,NA,"no pas overlapping kba",0
14479,79254642.514315,12712863.7072919,1984,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","COL",FALSE,"12720",TRUE,"",0.160405287362134
14519,2065797.00090426,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
14525,173019467.914294,121160550.988624,2012,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.700271203288181
14528,903571.336246591,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
14538,498320466.354735,358215708.577288,1990,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.718846069473471
14538,498320466.354735,131487378.955522,2001,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.263861085051083
14605,13212267.5530195,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
14614,2064856213.23131,31082585.6815861,2010,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",TRUE,"15625;12720",TRUE,"",0.0150531477603202
14614,2064856213.23131,5325770.6237499,2017,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",TRUE,"15625;12720",TRUE,"",0.00257924527123153
14615,614487508.100868,27835891.9207506,2017,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.0452993617507052
14616,714224941.158145,475963172.511804,2004,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.666405140851019
14616,714224941.158145,112809.342963502,2017,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.000157946518614397
14629,334223806.62992,43566749.2668175,1990,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",TRUE,"15626;12720",TRUE,"",0.130352022814037
14629,334223806.62992,363038.627306378,2001,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",TRUE,"15626;12720",TRUE,"",0.00108621414784005
14637,544961733.476372,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
31588,370470105.336433,2477489.56421896,2019,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.0066874210051823
14526,3453469.25944612,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
14531,119555450.142797,1290887.21353968,2017,FALSE,1,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",FALSE,"12720",TRUE,"",0.0107973932764909
14534,197538259.423684,0,0,FALSE,0,"12720","PER;COL;ECU","Cordillera Occidental (Ecuador)","ECU",NA,NA,NA,"no pas overlapping kba",0
