"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6920,1412208956.86308,4253540.36167574,1977,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.00301197662074319
6920,1412208956.86308,77641259.6128802,2001,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.0549785916847202
6921,13574717.9628793,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
6923,817498.783518314,751083.142857298,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.918757505209758
6925,243206.461185336,227995.982947897,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.937458576703488
6927,27051143.1228274,23848250.454323,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.881598620288929
6928,6354063.77774832,2862312.89163359,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.450469650880323
6929,6844403.09131336,6450758.67134255,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.942486669075582
6930,61754.0970454216,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
6932,777190.93337515,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
6933,15229046.9948032,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
6940,8675666.43480018,7670956.53013007,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.884192192931718
29331,840526.069950357,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
29330,1065616.1857639,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
29328,3187088.28672814,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
29327,181792.229539156,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
29323,5821966.42519045,5502143.078215,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.945066095607897
29254,1097871.03064394,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
31956,304559.689590454,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
31710,6137109.75697231,1062331.55408013,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.173099650511093
46620,36768280.3747866,18941033.5089055,1987,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,"",0.515146025754689
31697,205398823.686594,5412432.03645706,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",TRUE,"15752;19347",TRUE,"",0.02635084242116
31697,205398823.686594,1317153.77827346,2010,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",TRUE,"15752;19347",TRUE,"",0.00641266466201009
31736,157950869.613937,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,"no pas overlapping kba",0
