"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
592,96306151.3412727,8651144.81070781,1990,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"11590;18983;18988",TRUE,"",0.0898296182561736
592,96306151.3412727,NA,1994,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"11590;18983;18988",TRUE,"",NA
592,96306151.3412727,NA,2006,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"11590;18983;18988",TRUE,"",NA
592,96306151.3412727,NA,2011,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"11590;18983;18988",TRUE,"",NA
594,608140.809050873,608140.809050873,1985,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",1
672,149342218.007693,925.181459707092,1985,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",6.19504298281839e-06
672,149342218.007693,338829.62306374,1994,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.00226881338434579
672,149342218.007693,11762438.6063114,2003,FALSE,2,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.078761643982718
672,149342218.007693,NA,2006,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",NA
672,149342218.007693,NA,2010,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",NA
672,149342218.007693,NA,2011,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",NA
672,149342218.007693,NA,2017,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",NA
672,149342218.007693,NA,2018,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",NA
