"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6414,13274639583.7547,2006054.60134728,1943,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747",TRUE,"",0.000151119327096629
6414,13274639583.7547,12906854052.7053,1948,FALSE,2,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747",TRUE,"",0.972294123035966
6414,13274639583.7547,50066393.6967612,1976,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747",TRUE,"",0.00377158214962248
6424,217590492.817317,156289309.345196,1974,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747",TRUE,"",0.718272693450869
6972,13249880792.828,113756164.762785,1943,TRUE,2,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",TRUE,"18198;18200;19747",TRUE,"",0.00858544816677593
6972,13249880792.828,12956920164.8514,1951,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",TRUE,"18198;18200;19747",TRUE,"",0.977889565003848
45611,228200163.579326,27541523.7956633,1962,FALSE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","KEN",FALSE,"19747",TRUE,"",0.120690201810874
46976,1778600604.61326,724015257.785522,1936,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747",TRUE,"",0.407070174106319
46976,1778600604.61326,234427636.440297,1941,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747",TRUE,"",0.131804541071362
46976,1778600604.61326,704392622.728216,1956,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747",TRUE,"",0.396037548228193
46976,1778600604.61326,110564122.649934,1957,TRUE,1,"19747","KEN;TZA","Eastern Rift Mountains (nn)","TZA",FALSE,"19747",TRUE,"",0.062163547208495
