"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
15024,1896262148.42069,1030731.32251942,1948,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.000543559509099451
15024,1896262148.42069,720815108.044671,1950,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.38012418728339
15024,1896262148.42069,18398988.7934381,1964,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00970276647074443
15024,1896262148.42069,45150287.342228,1975,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0238101506059337
15024,1896262148.42069,1778530.19645627,1976,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.000937913672926248
15024,1896262148.42069,17336330.641948,1979,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00914237024473998
15024,1896262148.42069,21339339.6873915,1980,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0112533700602335
15024,1896262148.42069,25595427.7453123,1983,FALSE,3,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0134978319145533
15024,1896262148.42069,7536297.7839623,1984,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00397429110222916
15024,1896262148.42069,34390085.0501379,1985,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0181357229952514
15024,1896262148.42069,24702994.2495474,1997,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0130272042133633
15024,1896262148.42069,120463993.529644,2003,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0635270780624785
15024,1896262148.42069,100417440.481301,2004,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0529554632332528
15024,1896262148.42069,16987626.8114249,2007,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00895848014768058
30673,28183126245.5213,8723891.10260141,1948,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00030954305872961
30673,28183126245.5213,3874575.34684825,1957,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.000137478550572933
30673,28183126245.5213,670950.071665764,1958,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",2.38068007722312e-05
30673,28183126245.5213,71328167.2159957,1959,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0025308820105552
30673,28183126245.5213,695815.598527342,1962,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",2.4689084967567e-05
30673,28183126245.5213,43905461.8683039,1963,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00155786343522771
30673,28183126245.5213,5035137.54706344,1964,FALSE,3,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.000178657878590158
30673,28183126245.5213,448734.920419574,1965,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.5922112987408e-05
30673,28183126245.5213,80374.7672755122,1966,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",2.85187550079846e-06
30673,28183126245.5213,1430459.55878687,1967,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",5.07558865657848e-05
30673,28183126245.5213,12290.3971736431,1972,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",4.36090626234066e-07
30673,28183126245.5213,32259848.5399659,1973,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00114465117385948
30673,28183126245.5213,264257.846935153,1974,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",9.37645613311432e-06
30673,28183126245.5213,15953.8242131919,1976,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",5.66077165258669e-07
30673,28183126245.5213,359670.745936275,1977,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.2761917993162e-05
30673,28183126245.5213,21.4082087278366,1980,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",7.59610858686719e-10
30673,28183126245.5213,NA,1983,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",NA
30673,28183126245.5213,3365.16119866818,1984,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.19403403630673e-07
30673,28183126245.5213,53054.4865159169,1985,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.8824911776545e-06
30673,28183126245.5213,542660.403811753,1989,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.9254798033557e-05
30673,28183126245.5213,9565389.0553937,1995,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.000339401277631994
30673,28183126245.5213,383765911.254613,2003,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0136168680476176
30673,28183126245.5213,548513116.30274,2004,FALSE,2,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.0194624652894889
30673,28183126245.5213,393837.1723034,2005,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",1.39742187886621e-05
30673,28183126245.5213,120214209.998619,2013,FALSE,1,"20818","JPN","Echigo Mountains","JPN",FALSE,"20818",TRUE,"",0.00426546753370637
