"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6252,185177338.940959,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6253,69849891.9198733,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6255,49775658.1836097,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6257,22541999.3411103,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6258,62499245.6239219,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6259,6312071.11974045,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6260,239413530.701585,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6262,738323065.448745,352269846.891429,1969,FALSE,1,"12955","ETH","Entoto Mountains","ETH",TRUE,"12955;19087;19333",TRUE,"",0.477121552036741
6262,738323065.448745,5236.02999614522,1973,FALSE,2,"12955","ETH","Entoto Mountains","ETH",TRUE,"12955;19087;19333",TRUE,"",7.09178710672247e-06
6263,20222644.8982174,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6264,25459717.4314321,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6265,95889358.5018613,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6266,1027506.16614887,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6267,237764697.032659,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6268,601873.07640725,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6270,367128518.977847,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
28718,132020183.689184,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
6261,51525360.0499401,0,0,FALSE,0,"12955","ETH","Entoto Mountains","ETH",NA,NA,NA,"no pas overlapping kba",0
