"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6511,129656690.918864,37434631.1690354,2019,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.288721167444116
6496,3226615870.16952,0,0,FALSE,0,"11399","MAR","High Atlas Range","MAR",0
31726,1496787481.09914,73783697.6970362,1994,FALSE,2,"11399","MAR","High Atlas Range","MAR",0.0492947052462346
31799,69057713.2847776,0,0,FALSE,0,"11399","MAR","High Atlas Range","MAR",0
6509,371923012.858591,371923012.858591,1942,FALSE,1,"11399","MAR","High Atlas Range","MAR",1
6502,554708551.173145,532210420.553512,2004,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.959441529120018
6502,554708551.173145,NA,2005,FALSE,1,"11399","MAR","High Atlas Range","MAR",NA
46660,433915742.263465,2416726.26650066,1994,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.00556957499143524
46644,126783191.852719,103704433.880699,1942,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.817966738060752
31713,1522608866.89304,48047907.7903836,1994,FALSE,2,"11399","MAR","High Atlas Range","MAR",0.0315563036805557
46645,3314051473.9094,142762433.034816,1994,FALSE,4,"11399","MAR","High Atlas Range","MAR",0.0430779166101507
46645,3314051473.9094,7531773.13650002,2019,FALSE,2,"11399","MAR","High Atlas Range","MAR",0.00227267838046438
7228,1235885.78537498,0,0,FALSE,0,"11399","MAR","High Atlas Range","MAR",0
6512,20374421.2791157,7651869.34447443,2019,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.375562536950083
46669,803256400.177396,423524.334520847,1994,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.000527259209422188
29693,437770453.09519,111905108.550508,1994,FALSE,2,"11399","MAR","High Atlas Range","MAR",0.25562508332689
29693,437770453.09519,11194204.8681722,2005,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.0255709465749122
29693,437770453.09519,3478917.04533574,2014,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.00794689778795846
47162,1135793322.15754,138686228.401778,1942,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.122105162705421
47162,1135793322.15754,126227807.171167,1994,FALSE,2,"11399","MAR","High Atlas Range","MAR",0.111136246981437
46676,129656690.918864,37434631.1690354,2019,FALSE,1,"11399","MAR","High Atlas Range","MAR",0.288721167444116
