"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1969,1400313791.92533,395404703.923435,1987,FALSE,4,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.282368642088272
1969,1400313791.92533,1004343210.47979,1992,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.717227250257164
1970,13912480.9651402,13353656.7671875,1987,FALSE,3,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.959832886790436
1970,13912480.9651402,0.000262126326560974,1992,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",1.88410914787787e-11
1970,13912480.9651402,0.00271130357490001,1995,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",1.94882823681382e-10
1970,13912480.9651402,0.2384761292985,2001,FALSE,2,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",1.71411648214317e-08
1970,13912480.9651402,NA,2011,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",NA
1970,13912480.9651402,0.0113843861500982,2014,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",8.18285838350717e-10
1972,25450481.1640429,3038229.29000716,1987,FALSE,3,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.1193780687455
1972,25450481.1640429,0.173525602353308,2001,FALSE,2,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",6.81816588200580e-09
1977,2736657.44183901,2555147.08117108,1987,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.933674431482386
1974,27485976.0415749,13763.9322439065,1992,TRUE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.000500761996702876
1974,27485976.0415749,26993366.7065316,2006,TRUE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.98207779362471
1973,69538221.5877687,52887978.6890797,1987,FALSE,2,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.7605598400633
1973,69538221.5877687,NA,2001,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",NA
1975,1412650.47590978,966200.237093687,1974,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.683962702430995
1975,1412650.47590978,386031.346249938,1987,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.273267416698617
1975,1412650.47590978,0.149583300703512,1989,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",1.05888401451305e-07
1975,1412650.47590978,49.0253758805302,1993,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",3.47045335817811e-05
1975,1412650.47590978,5.16183354193345e-06,2001,FALSE,2,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",3.65400616073066e-12
1975,1412650.47590978,50969.3546255546,2014,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.0360806551193982
1971,1623145.66314596,1546336.03906057,1987,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.952678539068071
1971,1623145.66314596,0.39404899102407,1989,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",2.42768717540932e-07
1971,1623145.66314596,15900.238819717,2014,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.00979594079615709
1976,33384046.3930714,31009.2482068092,1987,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.000928864279713106
1976,33384046.3930714,0.0312037467956543,1989,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",9.34690373607029e-10
1976,33384046.3930714,23308405.9937612,2006,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.698189959339341
1976,33384046.3930714,36660.6463082318,2014,FALSE,1,"19067","ESP","Lanzarote","ESP",FALSE,"19067",TRUE,"",0.00109814867486646
28510,838630751.358673,126275.277574558,1974,FALSE,1,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.000150573154359029
28510,838630751.358673,745756.850814815,1987,FALSE,7,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.000889255312432328
28510,838630751.358673,193555.521439918,1989,FALSE,5,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.000230799456287928
28510,838630751.358673,268515768.114731,1992,FALSE,1,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.32018354642935
28510,838630751.358673,135.163562929522,1993,FALSE,1,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",1.61171722728439e-07
28510,838630751.358673,10826.1628573537,2001,FALSE,4,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",1.29093320747112e-05
28510,838630751.358673,1458277.52641821,2006,FALSE,2,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.00173887914801078
28510,838630751.358673,19274999.4943928,2011,FALSE,1,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.0229838930460935
28510,838630751.358673,544145846.894155,2014,FALSE,1,"19067","ESP","Lanzarote","ESP",TRUE,"19066;19067",TRUE,"",0.648850338498296
