"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6886,159241456.973175,136227049.246607,1972,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","SWZ",TRUE,"15582;15583",TRUE,"",0.855474772939028
7076,21362707299.0123,19129376524.41,1926,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.895456566279612
7076,21362707299.0123,22906168.5115407,1954,FALSE,2,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.00107225026261535
7076,21362707299.0123,372431884.341655,1962,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.0174337399810217
7076,21362707299.0123,804712162.632255,1965,FALSE,2,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.037669015980454
7076,21362707299.0123,169607836.285907,1967,FALSE,2,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.00793943548034049
7076,21362707299.0123,186187015.345716,1969,FALSE,2,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.00871551591002346
7076,21362707299.0123,584713280.508332,1972,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13017;13024;13026;15582;19355",TRUE,"",0.0273707481137171
7088,465413688.895154,316328.638430476,1964,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",FALSE,"15582",TRUE,"",0.000679671969213903
7088,465413688.895154,528136.67386508,1972,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",FALSE,"15582",TRUE,"",0.00113476824267637
7088,465413688.895154,457886767.125765,1983,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",FALSE,"15582",TRUE,"",0.983827459421623
45525,2210573496.43753,1888368968.78236,1926,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13024;13026;15582",TRUE,"",0.854243919881236
45525,2210573496.43753,164912.880591821,1972,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13024;13026;15582",TRUE,"",7.46018537079124e-05
45525,2210573496.43753,114325.189627521,1994,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13024;13026;15582",TRUE,"",5.1717434327229e-05
45525,2210573496.43753,78696492.2041117,1996,FALSE,1,"15582","SWZ;ZAF","Makhonjwa Mountains","ZAF",TRUE,"13024;13026;15582",TRUE,"",0.0356000342585016
