"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
26001,599050824.84137,8995740.77510202,1935,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0150166570215209
26001,599050824.84137,3747660.53853516,1939,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00625599762679161
26001,599050824.84137,1627667.80990357,1961,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00271707798805649
26001,599050824.84137,1793574.76487973,1970,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00299402770266559
26001,599050824.84137,2612259.95427079,1986,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00436066498191122
26001,599050824.84137,2952974.21190427,1992,TRUE,3,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0049294218277493
26001,599050824.84137,1665954.27275965,1993,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00278098986542719
26001,599050824.84137,7135108.120472,1996,TRUE,2,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0119106890844552
26001,599050824.84137,2.11497899726965e-06,1997,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",3.5305501796608e-15
26001,599050824.84137,8936954.32442927,1998,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0149185243619284
26001,599050824.84137,3548084.42141813,1999,TRUE,3,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00592284372925732
26001,599050824.84137,9979155.32758862,2001,TRUE,2,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0166582782524857
26001,599050824.84137,2871846.57017775,2003,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.00479399485166925
26001,599050824.84137,6999485.9194926,2006,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.0116842939350698
26001,599050824.84137,451113640.259887,2009,TRUE,3,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",0.753047356840453
26001,599050824.84137,490.621363048442,2012,TRUE,1,"11607","USA","Markagunt Plateau","USA",TRUE,"11607;16134",TRUE,"",8.18997892504963e-07
