"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
26103,440378959.9624,114570114.513866,1961,FALSE,1,"11611","USA","Mauna Loa","USA",FALSE,"11611",TRUE,"",0.26016255300582
26103,440378959.9624,14372533.1223763,2002,FALSE,1,"11611","USA","Mauna Loa","USA",FALSE,"11611",TRUE,"",0.0326367388750895
26098,1087265534.24121,310359189.557455,1961,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.285449303581624
26098,1087265534.24121,96497963.4259122,1964,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.0887528946581177
26098,1087265534.24121,2783054.10290916,1970,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.00255968207881382
26098,1087265534.24121,2605937.75051022,1974,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.00239678134590081
26098,1087265534.24121,21871521.3381807,1978,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.0201160808003029
26098,1087265534.24121,70409492.4272463,1987,FALSE,2,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.0647583227922186
26098,1087265534.24121,46484999.254921,2010,FALSE,1,"11611","USA","Mauna Loa","USA",TRUE,"11610;11611",TRUE,"",0.0427540447029459
26094,651348694.006469,206044.036195993,1937,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",0.0003163344581665
26094,651348694.006469,3121.91307741237,1961,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",4.79299813777068e-06
26094,651348694.006469,23022533.9481207,1983,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",0.0353459432097857
26094,651348694.006469,16226163.5335567,1999,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",0.0249116390082077
26094,651348694.006469,16498503.7500038,2000,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",0.0253297563990203
26094,651348694.006469,15218187.7301336,2005,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",0.0233641179757742
26094,651348694.006469,1878.58011811972,2014,TRUE,1,"11611","USA","Mauna Loa","USA",TRUE,"11611;11754",TRUE,"",2.88413891884008e-06
