"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
16322,4935781279.92316,4321924748.0937,1993,FALSE,2,"18557","MNG","Mongolian Highlands","MNG",0.875631334328694
16323,721285949.69066,321542728.412988,1999,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.445790921826342
16323,721285949.69066,255599163.039226,2000,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.35436592539872
16324,52401460.7946184,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16326,2910678728.37519,2675577854.74884,1997,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.919228161000927
16326,2910678728.37519,2213124.58896711,1999,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.000760346570506781
16327,822966195.102572,800933940.769953,1997,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.973228238943796
16327,822966195.102572,7767891.24685872,1999,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.00943889468739424
16332,140342473.826521,111550913.177295,2010,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.79484784709713
16333,409566367.675137,4699639.85889912,1997,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.0114746723115381
16333,409566367.675137,NA,1999,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",NA
16334,881313352.793697,828987638.56313,1992,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.940627571266567
16334,881313352.793697,1124684.25580937,2000,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.00127614571167474
16335,212295376.195524,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16337,14910826.6501536,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16338,35286818.8997927,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16339,1946482515.95886,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16340,3795650934.43774,3757834736.60576,1992,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.99003696638991
16341,250974624.774859,250910927.852606,2019,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.999746201743262
16344,15988972.3804266,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
16345,210070444.9877,182585363.603904,1965,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.869162549803686
16345,210070444.9877,59889.9234514236,1998,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.000285094476069351
16346,101897999.761404,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
28295,348027845.741781,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
28302,8965627354.08326,239148.764933586,1992,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",2.6673957715259e-05
28302,8965627354.08326,8894893071.3574,1996,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",0.992110503823957
28310,200191829.050956,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
28314,41383757.4932241,0,0,FALSE,0,"18557","MNG","Mongolian Highlands","MNG",0
28320,133071562.280535,133071562.280535,2010,FALSE,1,"18557","MNG","Mongolian Highlands","MNG",1
