"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
15684,367670772.65958,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15685,207373514.051462,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15686,321544021.971166,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15687,255563099.492208,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15742,1090750397.18067,29339670.772193,2007,FALSE,1,"11662","CHN","Nan Ling","CHN",0.0268986111286587
15750,823387796.479108,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15754,139609081.367888,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15724,1055447211.21152,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15756,65990765.1452565,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15725,6052777.98548764,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
15729,50880266.2640367,0,0,FALSE,0,"11662","CHN","Nan Ling","CHN",0
