"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
872,1097583104.6964,111845224.948643,1974,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.101901372634176
872,1097583104.6964,816342.199711442,1990,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.000743763452825061
872,1097583104.6964,169676738.590133,1996,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.154591244949117
872,1097583104.6964,923030.669444159,2001,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.000840966543211759
872,1097583104.6964,37377984.1996298,2003,FALSE,3,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.0340548101002056
872,1097583104.6964,24236.1448142529,2008,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",2.2081375624816e-05
872,1097583104.6964,3.65730674367478,2016,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",3.33214562799455e-09
874,5552291736.42293,4891193.43370479,1967,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.000880932354764188
874,5552291736.42293,119019545.103852,1974,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.0214361115650833
874,5552291736.42293,5374999421.74473,1996,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.968068624075503
875,290927142.454299,244741400.284643,1967,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.841246362302166
875,290927142.454299,46181704.3721145,1974,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.158739758630012
878,43186211.240757,43182295.4249868,1974,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.999909327175095
879,2813800918.65602,1716202603.3732,1974,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.609923250786671
879,2813800918.65602,1070464311.80538,1996,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.380433563976758
881,539440846.636505,288691367.488456,1974,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.535167793259429
881,539440846.636505,244585068.04058,2000,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.45340479788582
1378,1967945841.52824,2566582.57868195,1986,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.00130419370519304
1378,1967945841.52824,896290.551354408,1988,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.000455444724362119
1378,1967945841.52824,1741307345.5943,1991,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.884834993346186
1378,1967945841.52824,1249529.46636045,1998,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.000634940982618761
1378,1967945841.52824,8843707.67006095,2015,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.00449387756687105
1379,433255736.221115,410610966.60096,1988,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.947733479958825
1379,433255736.221115,10605424.8763128,1991,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.024478440767603
1379,433255736.221115,3678611.64216962,1998,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","FIN",0.00849062420789789
22018,2998088485.43674,22066885.8544388,1982,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.00736031840341905
22018,2998088485.43674,142461893.629577,1993,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.0475175747218895
22018,2998088485.43674,25917513.58951,1994,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.00864467933998768
22018,2998088485.43674,586595394.547096,1996,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.195656464909722
22018,2998088485.43674,36803999.2295017,2002,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.012275821547055
22018,2998088485.43674,14451160.4093494,2003,FALSE,10,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.00482012471598024
22018,2998088485.43674,354826691.07903,2017,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.118350973562857
22018,2998088485.43674,154472.391145468,2018,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",5.15236264359173e-05
22018,2998088485.43674,1684272.06150835,2019,FALSE,3,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.000561781971976385
22030,455280821.113979,29320581.312788,2003,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.0644010903886671
22030,455280821.113979,231650.710257381,2017,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","SWE",0.000508808409039896
32076,1961508977.91763,30317513.0099556,1983,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0154562193450377
32076,1961508977.91763,1892754969.88327,2006,FALSE,3,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.964948410224787
32084,35850815.2080536,35839554.3082809,1982,FALSE,2,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999685895572882
32093,16572695.3848036,16572371.1554251,1985,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999980435929643
3145,36602386.5787194,33898379.1648834,1991,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.926124833198497
3145,36602386.5787194,14506.2361711166,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.000396319407750055
3147,2195981.6514892,2195352.82678795,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999713647561298
32083,25555770.9635049,4379736.05157471,1984,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.171379531371964
3146,7464475.901618,7457581.4599914,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999076366282445
3140,11826226.8024925,11582166.6797359,1991,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.979362807188409
3151,6326155.38095009,6326151.87598801,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999999445957003
3181,36122662.075265,1901003.58876774,1984,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0526263425659719
3181,36122662.075265,2360743.51050957,2002,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0653535308552492
3181,36122662.075265,7962578.87641747,2003,FALSE,8,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.220431674161408
3181,36122662.075265,330397.792611264,2011,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.00914655160029038
3181,36122662.075265,1589619.85945839,2016,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.0440061658840719
3149,4406444.41195881,4406059.76661301,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.999912708453839
3148,7135796.4642254,7134938.54578126,1983,FALSE,1,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.99987977257361
3154,63763590.9497645,10524341.6841066,1995,FALSE,3,"19236","SWE;FIN;NOR","Northern Scandes","NOR",0.165052524918148
