"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
18277,128809063.998343,32777604.4509119,1983,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.254466599115522
18263,159093752.092381,56417331.5003751,1985,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.354616889465373
18266,113320032.06367,0,0,FALSE,0,"19502","IND","Northern Western Ghats (nn)","IND",NA,NA,NA,"no pas overlapping kba",0
18269,487752999.772087,354332042.717885,2012,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.726457946713715
18276,452140826.158288,229345621.52916,1958,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.507243779505258
18276,452140826.158288,196104006.751173,2012,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.433723290191272
18280,406792275.310832,150275444.194528,1970,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.36941567801331
24972,2963684.59099665,0,0,FALSE,0,"19502","IND","Northern Western Ghats (nn)","IND",NA,NA,NA,"no pas overlapping kba",0
25009,4957145.13404578,0,0,FALSE,0,"19502","IND","Northern Western Ghats (nn)","IND",NA,NA,NA,"no pas overlapping kba",0
24925,518022667.517498,0,0,FALSE,0,"19502","IND","Northern Western Ghats (nn)","IND",NA,NA,NA,"no pas overlapping kba",0
24942,610457354.49099,151549237.997118,1985,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.248255241553249
24942,610457354.49099,213628854.28708,2012,FALSE,1,"19502","IND","Northern Western Ghats (nn)","IND",FALSE,"19502",TRUE,"",0.349948858368997
