"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
3522,65369523.4909778,59823307.7521738,1956,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.915155940526789
3522,65369523.4909778,129392.77121269,1985,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00197940514635307
3522,65369523.4909778,986.886067040265,1998,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",1.50970362691488e-05
3522,65369523.4909778,222733.740432272,2003,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00340730249415101
3522,65369523.4909778,44476.9582858108,2004,FALSE,3,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.000680392878983576
3522,65369523.4909778,18.098698541522,2007,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",2.76867530539977e-07
9242,53093957.3467107,96254.5670805126,1981,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00181291001633119
9242,53093957.3467107,516653.06419244,1983,FALSE,3,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00973092024048285
9242,53093957.3467107,334.436725482345,1986,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",6.29896022438915e-06
9242,53093957.3467107,205522.61441682,1996,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00387092288251806
9242,53093957.3467107,274699.260525001,1999,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00517383284751555
9242,53093957.3467107,355256.85797438,2000,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00669109773932474
9242,53093957.3467107,106366.507286876,2002,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00200336370845912
9242,53093957.3467107,46839677.690414,2004,FALSE,3,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.882203550670458
9242,53093957.3467107,11999.5133557178,2007,FALSE,4,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.000226005254747906
9242,53093957.3467107,0.151244218963358,2013,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",2.84861454149506e-09
9242,53093957.3467107,0.00220306776463985,2015,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",4.14937570061603e-11
9243,25306230.1816541,453063.44631983,1956,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0179032373873008
9243,25306230.1816541,1795776.8461042,1979,FALSE,2,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0709618474665603
9243,25306230.1816541,1980693.00295991,1980,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0782689870732235
9243,25306230.1816541,964217.471720278,1984,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0381019798207357
9243,25306230.1816541,200280.000804424,1985,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00791425666196691
9243,25306230.1816541,894253.492608219,1989,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.035337285964328
9243,25306230.1816541,832707.393050633,1990,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0329052327064625
9243,25306230.1816541,238061.762878776,1992,FALSE,1,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.00940723929126984
9243,25306230.1816541,936241.018280735,1997,FALSE,3,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0369964633831343
9243,25306230.1816541,1391914.61749903,2000,FALSE,4,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.0550028434700678
9243,25306230.1816541,11021906.5740212,2003,FALSE,2,"15492","DEU","Odenwald","DEU",FALSE,"15492",TRUE,"",0.435541228183864
