"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
16629,1897102287.56902,523362.501730662,1987,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","LAO",FALSE,"19519",TRUE,"",0.000275874688022915
16629,1897102287.56902,11185686.5256001,2016,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","LAO",FALSE,"19519",TRUE,"",0.00589619579233843
16656,5443979183.12315,5121911.96650815,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.000940839741339673
16656,5443979183.12315,4652723.68777686,1978,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.00085465493736654
16656,5443979183.12315,2802122570.62702,1993,FALSE,2,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.514719560154429
16656,5443979183.12315,12414543.5922292,1998,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.00228041716814705
16656,5443979183.12315,406096200.202114,2016,FALSE,3,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.0745954726390303
16656,5443979183.12315,407461366.35364,2017,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",TRUE,"19290;19519",TRUE,"",0.0748462388718915
16658,2573315333.92414,556267.843206465,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.00021616777231813
16658,2573315333.92414,2084572.75907613,1987,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.000810072800482361
16658,2573315333.92414,1699608638.97505,2016,FALSE,2,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.660474298104484
16658,2573315333.92414,626858985.651771,2017,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.243599755299267
31501,2310430264.4399,25383459.8490034,1993,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.0109864644000225
31501,2310430264.4399,20524163.6294407,1995,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.00888326470845303
31501,2310430264.4399,339593317.490756,2017,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.146982716906663
31501,2310430264.4399,25928217.5406482,2018,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","KHM",FALSE,"19519",TRUE,"",0.0112222463234284
23515,753608526.922455,11295145.2376269,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519",TRUE,"",0.0149880804610232
23515,753608526.922455,667639749.705011,1987,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519",TRUE,"",0.885923826302074
23515,753608526.922455,13657931.4809615,2009,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519",TRUE,"",0.0181233770492712
23515,753608526.922455,856617.984959926,2016,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519",TRUE,"",0.00113668828623547
21900,164288221.967401,162337425.867667,1977,FALSE,1,"19519","LAO;KHM;THA","Phnom Dangrek Range (nn)","THA",FALSE,"19519",TRUE,"",0.988125770208159
