"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
1878,274478154.145416,5073124.79643707,1989,FALSE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",0.0184827998870517
1878,274478154.145416,958.057708829641,2005,FALSE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",3.49046980373553e-06
1878,274478154.145416,NA,2006,FALSE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",NA
1945,6300649.34127321,5336556.47512552,1995,TRUE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",0.846985157572208
1945,6300649.34127321,67393.913398257,2000,TRUE,2,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",0.0106963440985018
1945,6300649.34127321,134735.978383964,2011,TRUE,1,"11775","ESP;MAR","Rif","ESP",FALSE,"11775",TRUE,"",0.021384459138419
6482,387193765.446535,61738744.4736381,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.159451804195342
6484,165051168.065376,20536009.7057638,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",TRUE,"11775;10086;10087",TRUE,"",0.124422080415872
6488,102549061.787598,45326000.3592983,1994,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.441993320750008
6488,102549061.787598,3277278.719416,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.0319581540999758
6478,41437716.3201897,2123659.4169554,2019,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.0512494318110066
6479,24331096.5572917,8691515.58444691,1994,FALSE,2,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.357218408302365
31896,465097322.138428,450066751.102938,2004,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.967682955114894
31896,465097322.138428,3739129.14969289,2009,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.0080394553391559
31896,465097322.138428,NA,2019,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",NA
6481,782674046.774581,582556115.960689,2004,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.744315105836736
31940,97016294.9607584,0,0,FALSE,0,"11775","ESP;MAR","Rif","MAR",NA,NA,NA,"no pas overlapping kba",0
6483,137453169.087583,112770895.292128,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.820431395221391
31930,45319377.5229361,13406866.3014814,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.295830768961825
6480,222518686.51133,100441559.661195,2005,FALSE,1,"11775","ESP;MAR","Rif","MAR",FALSE,"11775",TRUE,"",0.451384830801976
