"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
256,894136.756688982,561811.392537445,1978,FALSE,1,"10060","LIE;AUT","Rätikon","LIE",FALSE,"10060",TRUE,"",0.628328260005607
256,894136.756688982,1475.11967311772,1991,FALSE,1,"10060","LIE;AUT","Rätikon","LIE",FALSE,"10060",TRUE,"",0.00164976963767839
257,9232025.21023415,1561.54174554348,1975,FALSE,1,"10060","LIE;AUT","Rätikon","LIE",FALSE,"10060",TRUE,"",0.000169144007948812
257,9232025.21023415,9101594.94291519,1989,FALSE,1,"10060","LIE;AUT","Rätikon","LIE",FALSE,"10060",TRUE,"",0.985871976695388
3253,2647653.75787358,1413173.95296107,1973,FALSE,2,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",0.533745754617114
3253,2647653.75787358,131239.419504533,1978,FALSE,1,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",0.049568195657855
3253,2647653.75787358,3873.69037537467,1991,FALSE,1,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",0.00146306531352716
3253,2647653.75787358,18715.0667800847,1994,FALSE,1,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",0.00706854766203095
3253,2647653.75787358,15133.7843116881,1995,FALSE,1,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",0.00571592273600102
3253,2647653.75787358,0.0334491518835443,2003,FALSE,1,"10060","LIE;AUT","Rätikon","AUT",TRUE,"10060;15406",TRUE,"",1.26335068488746e-08
