"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
19930,102527.598853528,0,0,FALSE,0,"14605","VCT","Saint Vincent","VCT",NA,NA,NA,"no pas overlapping kba",0
19931,98322.8616770133,0,0,FALSE,0,"14605","VCT","Saint Vincent","VCT",NA,NA,NA,"no pas overlapping kba",0
19933,414419.825432122,229835.759573936,1987,FALSE,1,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.554596439333672
26850,82285769.3720837,45507258.4225065,1948,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.553039228651185
26850,82285769.3720837,17149385.6721415,1987,TRUE,5,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.208412533576669
26850,82285769.3720837,9943713.16649975,1992,TRUE,1,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.120843655499359
19934,16016176.1713352,16016175.9172915,1948,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.99999998413831
19928,10133518.7231106,64427.3087739277,1948,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.00635784178569624
19928,10133518.7231106,2148.05395766615,1987,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.000211975130885906
19928,10133518.7231106,10066943.5038914,1992,TRUE,1,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.993430197245567
19929,5820250.93621073,82714.9046510905,1948,FALSE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.0142115701810173
19929,5820250.93621073,5737535.33285257,1987,FALSE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.985788309771398
19927,29798428.6491536,29798429.1360726,1948,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",1.00000001634043
19932,8254039.98932681,40048.5136707053,1948,FALSE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.00485198929524105
19932,8254039.98932681,0.0264474456021873,1987,FALSE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",3.20418190805788e-09
19935,11787219.3299525,0.072481838650241,1948,TRUE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",6.14918893263126e-09
19935,11787219.3299525,11787217.7854979,1987,TRUE,3,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",0.999999868972104
19936,49593120.5250329,0.036139694620905,1948,TRUE,1,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",7.28723948771542e-10
19936,49593120.5250329,0.0305770191043848,1987,TRUE,2,"14605","VCT","Saint Vincent","VCT",FALSE,"14605",TRUE,"",6.16557675352383e-10
