"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
10046,1105844942.92265,827678828.23634,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.748458301982967
10046,1105844942.92265,NA,2014,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",NA
10053,1211752149.50545,571311501.198944,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.471475541786424
10074,3595571380.10946,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10077,2777716471.22187,49779649.6328425,2004,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0179210693922786
10077,2777716471.22187,658007.333280459,2008,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000236887868181526
10126,22787963438.5806,1827416062.36968,2010,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0801921622919504
10126,22787963438.5806,41867839.0334105,2011,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.00183727866451318
10126,22787963438.5806,89216148.4063082,2012,FALSE,3,"11924","MEX","Sierra Madre Occidental","MEX",0.00391505579894266
10126,22787963438.5806,NA,2013,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",NA
10126,22787963438.5806,6506732.9086225,2015,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000285533761108571
10126,22787963438.5806,716394196.750274,2017,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.031437394512289
10128,2396024890.89576,148263385.442565,1996,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0618789003427826
10128,2396024890.89576,19421837.58087,2001,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.00810585802120325
10128,2396024890.89576,0.00157742016017437,2010,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",6.58348820234772e-13
10133,985668608.394531,841302540.145672,2009,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.853534882800007
10134,4023987689.62178,45892961.0975833,1939,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.011404846296112
10205,194398010.370071,183232913.944375,2009,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.942565788587847
10210,163824262.540524,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10211,196119821.300978,196119821.300978,2001,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",1
10228,1668092257.29866,229547749.054602,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.137610943309775
10228,1668092257.29866,935693860.419093,2004,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.560936516745405
10228,1668092257.29866,NA,2005,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",NA
10228,1668092257.29866,4691117.06125946,2014,FALSE,2,"11924","MEX","Sierra Madre Occidental","MEX",0.00281226475378306
10228,1668092257.29866,2526152.7139242,2017,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.00151439628286213
47129,21218832.6236267,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
44510,587409841.009316,372176988.581944,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.633589978578587
44510,587409841.009316,309329.157887433,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000526598528475329
44510,587409841.009316,338006.561345088,2008,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000575418622140053
44559,41104568.6076816,12237774.4499584,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.297722974951047
10047,5039199141.20961,2835432482.87471,1995,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.562675219498091
10047,5039199141.20961,719328.060730353,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000142746504072011
10047,5039199141.20961,728022.094234481,2005,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000144471784867729
10047,5039199141.20961,11128782.0324224,2007,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.00220844259585087
10047,5039199141.20961,29585301.4886992,2008,FALSE,3,"11924","MEX","Sierra Madre Occidental","MEX",0.00587103241202679
10047,5039199141.20961,18514679.8013806,2010,FALSE,2,"11924","MEX","Sierra Madre Occidental","MEX",0.00367413140115283
44562,1208809971.69306,47968006.2575631,2001,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0396820074129428
44562,1208809971.69306,683057484.408698,2003,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.565066057034596
44562,1208809971.69306,1556788.17135222,2016,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.00128786840595945
44572,1152531025.16169,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
44580,1421704997.16649,655392619.085458,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.460990585523493
10139,1087215451.73192,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10076,110128478.389598,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10137,896584483.546602,11252621.0843058,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0125505418516658
10079,264525989.056057,23843047.3551853,1977,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0901349899125888
10079,264525989.056057,54921010.2441483,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.207620470261278
10079,264525989.056057,29059113.0745012,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.10985352773161
10078,1119763525.8245,819347632.386455,2002,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.731714878624176
10233,1850375804.05274,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10034,575959813.234402,520051596.176687,2002,FALSE,2,"11924","MEX","Sierra Madre Occidental","MEX",0.902930350741396
10132,2449946534.60495,135293459.099127,2003,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0552230251510132
10132,2449946534.60495,51594127.6205968,2009,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0210592871688591
10132,2449946534.60495,37323487.2962722,2017,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0152344089020255
10127,6741486768.54457,0,0,FALSE,0,"11924","MEX","Sierra Madre Occidental","MEX",0
10060,260202789.832183,260202789.096992,2008,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.999999997174546
10147,728984179.327731,5821.3155066967,1995,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",7.98551693133466e-06
10147,728984179.327731,389966310.372145,2007,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.534944819696597
10075,3847500617.76018,237219794.630816,2012,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.061655557256002
10138,4886204101.19265,54537783.6647428,2018,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0111615852582644
44576,9048292133.86198,8959448.55887794,2000,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000990181177434408
44576,9048292133.86198,41356.2727426291,2007,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",4.57061643576459e-06
44576,9048292133.86198,4525949.97780609,2017,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000500199364791545
44534,27268927942.0508,17245699.0003502,1996,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.000632430399794192
44534,27268927942.0508,315367734.732483,2004,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0115650947262273
44534,27268927942.0508,101233.959133379,2010,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",3.71242900888921e-06
44534,27268927942.0508,91247223.1795387,2015,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",0.0033461976713367
44534,27268927942.0508,679316.810082674,2017,FALSE,1,"11924","MEX","Sierra Madre Occidental","MEX",2.4911753462633e-05
