"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
373,765692251.809094,692267864.857401,1995,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.904107183038337
373,765692251.809094,65313316.648095,1999,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.0852996964430289
375,1008438169.79983,989870036.297161,1988,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.98158723652204
377,232679165.477555,138912453.399873,1978,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.597012857230968
377,232679165.477555,31949246.3402211,1980,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.137310301395692
377,232679165.477555,53175568.3070074,1988,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.228536010939651
377,232679165.477555,76.8214455085823,2008,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",3.30160396402112e-07
378,21461245.6041154,19920435.1131315,1975,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.928204983093411
378,21461245.6041154,611805.022293761,1988,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.0285074330530209
378,21461245.6041154,640933.642741567,1996,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.0298646991215953
379,835722942.706085,702623.524102606,1995,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.000840737388191712
379,835722942.706085,816919797.098455,1999,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.977500742594495
379,835722942.706085,1241412.46690268,2008,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.00148543542777821
382,896321768.864163,3844605.06698559,1989,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.00428931350385203
382,896321768.864163,0.0340806737936608,1992,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",3.80228116481523e-11
382,896321768.864163,836749426.151894,1999,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.933536878404995
382,896321768.864163,308430.26277345,2000,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.00034410662943543
382,896321768.864163,67178.5739364475,2004,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",7.49491714583453e-05
382,896321768.864163,5929089.56211105,2008,FALSE,3,"12258","PRT;ESP","Sierra Morena","PRT",0.00661491193014816
382,896321768.864163,9729.58756899834,2012,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",1.08550164762013e-05
19684,330190620.765626,0,0,FALSE,0,"12258","PRT;ESP","Sierra Morena","PRT",0
19686,1036982281.72281,545.922904983163,1988,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",5.26453454996537e-07
19686,1036982281.72281,752659641.300875,2003,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.725817262808419
19686,1036982281.72281,4478549.2634644,2008,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.00431882910865545
19687,711620001.667378,6657185.9757584,1991,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.00935497310384773
19687,711620001.667378,468557437.938829,2003,FALSE,2,"12258","PRT;ESP","Sierra Morena","PRT",0.658437701077772
19687,711620001.667378,3736485.23830352,2008,FALSE,3,"12258","PRT;ESP","Sierra Morena","PRT",0.00525067483987052
19687,711620001.667378,36394622.0605881,2012,FALSE,1,"12258","PRT;ESP","Sierra Morena","PRT",0.0511433377017409
19688,2753116.45575824,0,0,FALSE,0,"12258","PRT;ESP","Sierra Morena","PRT",0
