"SitRecID","kba","ovl","year","random","nPAs","percPA","DOMAIN","range_countries","RangeName","COUNTRY"
28013,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
23753,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
28015,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
28016,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
23774,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
45280,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
23766,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
24314,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
24325,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
31035,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
31351,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
23759,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
27171,NA,0,0,FALSE,0,0,"12891","PYF","Society Islands","FJI"
