"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
12038,225363698.221319,194066506.568581,1962,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",TRUE,"13099;19518",TRUE,"",0.861125851679969
16625,2699617030.04323,2506404931.07644,1993,FALSE,2,"13099","VNM;LAO","Song Ma Range","LAO",FALSE,"13099",TRUE,"",0.928429811778266
16632,1729637600.54078,1700454001.00676,1993,FALSE,1,"13099","VNM;LAO","Song Ma Range","LAO",TRUE,"11106;12067;13099;13131",TRUE,"",0.983127332844238
16633,782015022.137489,670792505.142777,1993,FALSE,1,"13099","VNM;LAO","Song Ma Range","LAO",FALSE,"13099",TRUE,"",0.857774449535884
22609,154551923.532924,118751615.687406,1992,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",FALSE,"13099",TRUE,"",0.768360645230718
22620,65497244.4183956,60307175.240034,2014,FALSE,2,"13099","VNM;LAO","Song Ma Range","VNM",FALSE,"13099",TRUE,"",0.920758968954366
22627,171955953.321004,5015705.50481364,1962,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",TRUE,"13099;19518",TRUE,"",0.0291685481540172
22627,171955953.321004,96862049.8082161,2004,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",TRUE,"13099;19518",TRUE,"",0.563295704146957
22629,52971028.6226962,2430418.85624838,2004,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",FALSE,"13099",TRUE,"",0.0458820400404124
22633,470102767.43168,402135687.255868,2001,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",FALSE,"13099",TRUE,"",0.855420803950724
22634,190379420.046847,162316672.240357,1999,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",TRUE,"13099;19518",TRUE,"",0.852595686027489
22634,190379420.046847,5071730.4581904,2004,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",TRUE,"13099;19518",TRUE,"",0.0266401192783464
22640,12926429.0884552,0,0,FALSE,0,"13099","VNM;LAO","Song Ma Range","VNM",NA,NA,NA,"no pas overlapping kba",0
22646,229208666.281308,211875774.862523,2013,FALSE,1,"13099","VNM;LAO","Song Ma Range","VNM",FALSE,"13099",TRUE,"",0.924379423780112
48977,125182626.648054,0,0,FALSE,0,"13099","VNM;LAO","Song Ma Range","LAO",NA,NA,NA,"no pas overlapping kba",0
48976,23309501.5545827,0,0,FALSE,0,"13099","VNM;LAO","Song Ma Range","VNM",NA,NA,NA,"no pas overlapping kba",0
