"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
20183,21126193.9961399,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
20185,1696953714.57865,2073510.3604014,1934,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.00122190154191462
20185,1696953714.57865,1693903419.53779,1939,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.998202487778747
20186,291510391.585071,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
20192,1323073494.28885,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
20225,169793741.827367,166820361.758645,1947,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.982488282331718
20231,3872012436.05312,19233215.5781431,1975,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.0049672401356614
20233,1088356017.38617,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
20234,1513644946.94363,346829.669160128,2019,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.000229135419016494
20236,821583194.738729,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
20241,1183607917.98893,165733913.311289,2006,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.140024336431348
20241,1183607917.98893,600409.174067765,2009,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0.000507270325707117
20551,255872047.926749,254098690.804114,2001,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","PRY",0.993069359717078
20558,133276544.223254,130077920.144276,1973,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","PRY",0.976000097409338
20561,60346649.8249125,34882654.202246,2005,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","PRY",0.578037957425196
20562,734458017.897287,660411829.823796,1992,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","PRY",0.899182545129698
20562,734458017.897287,673787.569023279,2005,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","PRY",0.000917394258901681
20934,639234935.398651,257622344.011194,2019,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","URY",0.403016684078024
21849,5502404472.15635,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","URY",0
19596,998892617.968477,743739972.225878,1988,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.74456448956293
19596,998892617.968477,6300.70726549625,1990,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",6.30769229059924e-06
19596,998892617.968477,31491990.2514974,2002,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0315269025769207
19597,167098259.947125,29122328.8171285,1988,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.174282657559353
19597,167098259.947125,24882485.865929,2004,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.148909305661247
19598,66361468.0955398,4325650.1078186,1988,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.065183158720826
19598,66361468.0955398,17622575.1915016,1992,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.265554329903169
19599,37222023.8863068,3458638.32100856,1992,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0929191365728215
19600,22320155.6241562,2105457.36815944,1990,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.094329869540909
19601,309087763.668855,17317077.6776741,1988,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0560264096906372
19601,309087763.668855,6328532.49772778,1989,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0204748723230206
19602,610439268.771629,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0
19603,229823612.256327,3097939.4085207,2003,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.013479639355183
19604,551000982.995783,15216819.7815738,1997,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0276166835471694
19605,890668980.961489,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0
19606,583107137.214992,741000.392447233,1989,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.00127077915044286
19606,583107137.214992,917757.247544527,1991,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.00157390844490067
19606,583107137.214992,39838.4675831646,1993,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",6.83210083372314e-05
19607,5746894.67512608,3598756.0021053,2003,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.626208797192955
19608,367536390.865995,37725198.3192115,1993,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.102643436831718
19609,2249796129.30621,545922.637861833,1947,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.000242654270202778
19609,2249796129.30621,51348263.9684949,1975,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0228235186733696
19609,2249796129.30621,2208032.91179922,1988,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.00098143688800822
19609,2249796129.30621,312719556.90362,1992,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.138999064328578
19609,2249796129.30621,86404354.1829582,1995,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.0384054150762557
19610,122236133.982777,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0
19611,96563339.9924872,67239490.5347364,1993,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.696325236264277
19613,158744282.127973,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0
19614,68205896.8358459,1326864.23043108,1997,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.019453805198464
19615,636297717.760281,524443.250099301,1991,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.000824210484276608
19615,636297717.760281,513010.68740797,1996,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.000806243167449553
19615,636297717.760281,445834.490220428,2006,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.000700669635889519
19616,352745072.054139,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0
19619,6063840.89841938,4572456.83297634,1989,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","ARG",0.754052903031841
47049,163710696.835533,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
23552,5956957915.77038,1149848.57051668,1992,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","URY",0.00019302613628889
23552,5956957915.77038,288804572.827593,2009,FALSE,1,"14222","BRA;PRY;URY;ARG","Southern Highland","URY",0.0484818890633783
47082,4801678618.68962,0,0,FALSE,0,"14222","BRA;PRY;URY;ARG","Southern Highland","BRA",0
