"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
59,416635795.538925,390449396.877675,1988,FALSE,1,"20940","GRL","Southwest Greenland (nn)","GRL",FALSE,"20940",TRUE,"",0.937147986462907
60,2577486.40575695,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
61,24688526.5031281,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
62,23466247.2472572,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
63,95141433.5063629,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
64,1416911179.15421,1411141546.12899,1988,FALSE,1,"20940","GRL","Southwest Greenland (nn)","GRL",FALSE,"20940",TRUE,"",0.995928020676171
66,908640199.362442,802354538.976929,1988,FALSE,1,"20940","GRL","Southwest Greenland (nn)","GRL",FALSE,"20940",TRUE,"",0.883027781007169
68,2767681.68825555,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
2920,11115454.8879318,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
2921,4999339.97165535,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
2922,20442314.1209011,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
2924,10685960.0257373,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
3292,9419744905.93097,0,0,FALSE,0,"20940","GRL","Southwest Greenland (nn)","GRL",NA,NA,NA,"no pas overlapping kba",0
