"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
44944,8074873.28795493,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44938,8324438.10969436,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44939,4982596.23958787,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44942,1901680.71469107,25145.283851251,2009,FALSE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",0.0132226633298618
44949,64526677.497779,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15952,490175485.719034,42365.2850473151,2009,FALSE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",8.64288122960082e-05
15952,490175485.719034,426361568.592194,2013,FALSE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",0.869814140066119
44940,17411436.3609992,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44943,28996531.4226322,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15954,55887094.040858,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15951,505218689.214339,496286030.606007,2013,TRUE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",0.982319223736114
44945,5248968.60006472,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15949,17727527.7336268,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44950,21540357.7455863,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44937,34029922.5665895,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15953,143939512.466985,239672.148682141,2009,FALSE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",0.00166508934603425
44948,123533101.429053,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
15950,39668276.5124986,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44951,78507727.6932476,0,0,FALSE,0,"12764","IDN","Sumba","IDN",NA,NA,NA,"no pas overlapping kba",0
44941,73675581.9854355,73399477.9136248,2009,FALSE,1,"12764","IDN","Sumba","IDN",FALSE,"12764",TRUE,"",0.996252434465122
