"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
3397,168487294.165274,320970.748432123,1939,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.00190501455924192
3397,168487294.165274,46563460.1281522,2004,FALSE,5,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.276361848879103
3397,168487294.165274,110873010.244217,2007,FALSE,4,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.658049681392942
3398,19359168.835031,18686950.4913661,1939,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.965276487364042
3398,19359168.835031,692.851181180216,1961,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",3.57893041320288e-05
3398,19359168.835031,45927.1903624476,2004,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.00237237408040686
3398,19359168.835031,415.014159185827,2007,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",2.14376021368669e-05
3399,11380545.5339584,9356707.95755075,1981,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.822166910156569
3399,11380545.5339584,1840008.23154472,2007,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.161680143192988
3417,23489790.43978,18487179.7217448,1961,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.787030423670222
3417,23489790.43978,4013449.50563086,1967,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.170859315067966
3417,23489790.43978,434.809053304286,2004,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",1.85105548054586e-05
3417,23489790.43978,899560.945417945,2007,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.0382958267645733
3418,1983813.92895061,1983813.92895061,1939,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",1
3419,5993559.61244059,5959078.64011214,1939,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",0.994246996016044
3420,3059233.72155499,3059233.72155499,1939,FALSE,1,"15475","DEU","Thuringian Forest","DEU",FALSE,"15475",TRUE,"",1
