"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
148,46456146.7591497,88052.6750293002,2003,FALSE,2,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",TRUE,"15669;19541",TRUE,"",0.00189539342308793
25048,19885659.7215647,0,0,FALSE,0,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",NA,NA,NA,"no pas overlapping kba",0
46710,653884399.399081,0,0,FALSE,0,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",NA,NA,NA,"no pas overlapping kba",0
167,440276381.201698,152703983.730721,1961,FALSE,1,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",FALSE,"15669",TRUE,"",0.346836646821543
167,440276381.201698,29213563.4670563,2008,FALSE,1,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",FALSE,"15669",TRUE,"",0.0663527836476722
183,100326430.262344,0,0,FALSE,0,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",NA,NA,NA,"no pas overlapping kba",0
3082,2773451826.90798,99659880.2369541,1957,FALSE,1,"15669","AZE;GEO","Tsiv-Gombori Range","GEO",TRUE,"15668;15669",TRUE,"",0.0359335176728348
3082,2773451826.90798,88513879.7779122,1996,FALSE,3,"15669","AZE;GEO","Tsiv-Gombori Range","GEO",TRUE,"15668;15669",TRUE,"",0.0319146988309485
3082,2773451826.90798,243989091.946299,2003,FALSE,2,"15669","AZE;GEO","Tsiv-Gombori Range","GEO",TRUE,"15668;15669",TRUE,"",0.0879730772963571
18568,629170360.228096,7748532.48149463,2003,FALSE,2,"15669","AZE;GEO","Tsiv-Gombori Range","GEO",TRUE,"15669;19541",TRUE,"",0.0123154760162025
185,25445784.7589971,0,0,FALSE,0,"15669","AZE;GEO","Tsiv-Gombori Range","AZE",NA,NA,NA,"no pas overlapping kba",0
