"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6988,4778199330.66382,16804398.6960248,1955,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.00351688942488933
6988,4778199330.66382,8655661.03157297,1958,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.00181149015195447
6988,4778199330.66382,11570990.9285412,1962,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.00242162164610526
6988,4778199330.66382,9376084.66177188,1982,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.00196226319015228
6988,4778199330.66382,3358214293.80461,2000,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.702820050275731
6988,4778199330.66382,574585949.149911,2002,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.120251565367426
6988,4778199330.66382,632518.02218488,2019,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;12151;19340",TRUE,"",0.000132375813232766
7001,4427466730.16659,1246800773.3073,1964,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;13028;14076;19340;19341",TRUE,"",0.281605904525991
22394,6982876.03822291,6099682.67187911,1982,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.873520113845732
22394,6982876.03822291,883193.44163096,2002,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.126479896935952
29891,5918238.90823746,5917911.44972229,1953,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.999944669601845
7029,3332190569.12283,26196514.7735143,1952,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.00786164963560601
7029,3332190569.12283,261883046.019227,1954,FALSE,2,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.0785918573943284
7029,3332190569.12283,15185039.2672707,1955,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.00455707407852969
7029,3332190569.12283,2149546.74942118,1957,FALSE,2,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.000645085178902907
7029,3332190569.12283,194861640.902121,1958,FALSE,4,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.0584785404255607
7029,3332190569.12283,345215410.106253,1961,FALSE,2,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.1036001401916
7029,3332190569.12283,526281662.220812,1962,FALSE,2,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.157938644655414
7029,3332190569.12283,2966209.24123287,1965,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.000890167947991553
7029,3332190569.12283,172370935.995625,1975,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.0517290150187901
7029,3332190569.12283,5608620.47127279,1976,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.00168316317897425
7029,3332190569.12283,194303524.439976,1982,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.0583110480656346
7029,3332190569.12283,14190.6610605565,1992,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",4.25865831085769e-06
7029,3332190569.12283,2469964.17284235,2002,FALSE,1,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.000741243371771665
7029,3332190569.12283,1384688383.81358,2019,FALSE,3,"12025","TZA","Udzungwa","TZA",FALSE,"12025",TRUE,"",0.415548977493833
6974,2081915055.62645,18009343.4035094,1958,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.00865037377718102
6974,2081915055.62645,2063645542.26403,1992,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.991224659568576
22510,5421091889.68871,26196594.7514009,1952,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.004832346561258
22510,5421091889.68871,261883185.665287,1954,FALSE,2,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0483081989743444
22510,5421091889.68871,15185034.2858585,1955,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.00280110254444155
22510,5421091889.68871,2149548.25512263,1957,FALSE,2,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.000396515738685636
22510,5421091889.68871,212871003.996677,1958,FALSE,4,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0392671823920883
22510,5421091889.68871,345215984.779456,1961,FALSE,2,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0636801573933991
22510,5421091889.68871,526281581.771635,1962,FALSE,2,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0970803654467947
22510,5421091889.68871,2966153.02859044,1965,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.000547150479819807
22510,5421091889.68871,172370983.031486,1975,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0317963588404297
22510,5421091889.68871,5608633.25730965,1976,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.00103459475903326
22510,5421091889.68871,200403515.066663,1982,FALSE,2,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.0369673709917819
22510,5421091889.68871,2063661434.05523,1992,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.380672653415164
22510,5421091889.68871,3354227.76184128,2002,FALSE,1,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.000618736562687907
22510,5421091889.68871,1384769309.45883,2019,FALSE,3,"12025","TZA","Udzungwa","TZA",TRUE,"12025;14064",TRUE,"",0.255441032477748
