"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
27150,14263555273.1522,2455480.59478346,1971,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.000172150669854754
27150,14263555273.1522,6322711.65821744,1979,TRUE,2,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.000443277397334342
27150,14263555273.1522,17915511.327971,1982,TRUE,3,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.00125603406618353
27150,14263555273.1522,23210465.8292227,1984,TRUE,3,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.00162725669615562
27150,14263555273.1522,1496152.3495465,1987,TRUE,2,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.000104893367810104
27150,14263555273.1522,3419770.86278519,1989,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.000239755853102214
27150,14263555273.1522,2524685996.87101,1992,TRUE,31,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.177002573939131
27150,14263555273.1522,18714035.1354012,1996,TRUE,6,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",0.00131201757044585
27150,14263555273.1522,3.95899590314366,1998,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",2.77560245487711e-10
27150,14263555273.1522,5321.13019646704,2000,TRUE,2,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",3.73057775187566e-07
27150,14263555273.1522,27155.4644246101,2002,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",1.90383560792336e-06
27150,14263555273.1522,33550.089220016,2007,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",2.35215474525949e-06
27150,14263555273.1522,NA,2009,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2010,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2011,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2012,TRUE,4,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2013,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2014,TRUE,1,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
27150,14263555273.1522,NA,2016,TRUE,2,"19687","AUS","Victorian Alps (nn)","AUS",TRUE,"19685;12190;12736;15188;19687;19833;19834;19835;19836;19837;19838;19839;19840;19841;19842;19843;19845;19848;19849;19850;19854;20943",TRUE,"",NA
