"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
9235,512731373.677055,23071.670060873,1956,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",4.49975781575729e-05
9235,512731373.677055,3405.69067157805,1962,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",6.6422513745436e-06
9235,512731373.677055,248331.307960421,1974,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000484330237448728
9235,512731373.677055,1825618.2619653,1982,FALSE,2,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00356057451462911
9235,512731373.677055,701705.11953938,1984,FALSE,3,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00136856286851943
9235,512731373.677055,184762.242841028,1986,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000360349009884073
9235,512731373.677055,8262749.18840994,1990,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.0161151620763005
9235,512731373.677055,332385344.886283,1992,FALSE,4,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.648264104656947
9235,512731373.677055,302067.805703098,1993,FALSE,5,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000589134625285006
9235,512731373.677055,351860.19239299,1994,FALSE,4,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000686246659473211
9235,512731373.677055,0.0068049905821681,1995,FALSE,2,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",1.32720385986254e-11
9235,512731373.677055,563043.704314053,1996,FALSE,2,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00109812610115153
9235,512731373.677055,6471.980994293,1997,FALSE,2,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",1.26225570085153e-05
9235,512731373.677055,0.000813841819763184,1998,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",1.58726744947693e-12
9235,512731373.677055,430899.987853192,1999,FALSE,2,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000840401055942785
9235,512731373.677055,666103.792939782,2000,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00129912821242596
9235,512731373.677055,2232839.82436404,2004,FALSE,14,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00435479461370038
9235,512731373.677055,552604.778126993,2007,FALSE,10,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.00107776665618097
9235,512731373.677055,378336.853611108,2015,FALSE,1,"15495","DEU","Vogelsberg","DEU",TRUE,"15495;20877",TRUE,"",0.000737885124715236
9239,17448364.3251763,49541.4976664372,1986,FALSE,1,"15495","DEU","Vogelsberg","DEU",FALSE,"15495",TRUE,"",0.00283932045108398
9239,17448364.3251763,15482607.157406,1992,FALSE,2,"15495","DEU","Vogelsberg","DEU",FALSE,"15495",TRUE,"",0.88733859912967
9239,17448364.3251763,0.00401902198791504,1998,FALSE,1,"15495","DEU","Vogelsberg","DEU",FALSE,"15495",TRUE,"",2.30338037022529e-10
9239,17448364.3251763,37.280779597369,2004,FALSE,1,"15495","DEU","Vogelsberg","DEU",FALSE,"15495",TRUE,"",2.13663463821514e-06
9239,17448364.3251763,256036.705835903,2015,FALSE,1,"15495","DEU","Vogelsberg","DEU",FALSE,"15495",TRUE,"",0.0146739660557447
