"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
24837,1125802431.92302,141041.197021008,1971,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000125280593665169
24837,1125802431.92302,2297876.68438375,1994,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00204110119078235
24837,1125802431.92302,1116942341.13139,2011,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.99212997721412
26476,3554376.50530222,3553914.71648588,1985,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.999870078812514
26714,124849229.310771,282477.421331368,1957,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00226254837847845
26714,124849229.310771,1315691.96171063,1990,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.010538246563266
26714,124849229.310771,30543.0146120489,2000,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00024463919225342
26714,124849229.310771,30010988.6626345,2004,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.240377844767725
26714,124849229.310771,1182.44532078505,2015,FALSE,1,"15215","AUS","West Coast Ranges","AUS",9.47098614314825e-06
26716,38987408.1730734,0,0,FALSE,0,"15215","AUS","West Coast Ranges","AUS",0
26718,139500514.982952,216813.003727525,1959,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0015542093429119
26718,139500514.982952,187404.057565778,1962,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0013433933028038
26718,139500514.982952,3869891.68328035,1964,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0277410566101012
26718,139500514.982952,166003.863372579,1972,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00118998745913494
26718,139500514.982952,47309353.346413,2004,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.339133897478404
26718,139500514.982952,115716.893214941,2007,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000829508717075936
26718,139500514.982952,213664.253407665,2008,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00153163773935728
26719,77208030.1144969,346343.900063771,1988,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00448585334388346
26719,77208030.1144969,1082205.25603758,1991,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0140167448182878
26719,77208030.1144969,3082927.31026362,2002,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0399301381694591
26933,2350071871.94573,4006396.54528286,1890,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00170479745454158
26933,2350071871.94573,165799.237774082,1957,FALSE,2,"15215","AUS","West Coast Ranges","AUS",7.05507094286476e-05
26933,2350071871.94573,1322818.74183196,1963,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000562884377121936
26933,2350071871.94573,1553157.90643191,1966,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000660898045278071
26933,2350071871.94573,4437320.16170903,1971,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0018881635981776
26933,2350071871.94573,9734764.90877326,1972,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00414232646455761
26933,2350071871.94573,2521.29932492226,1975,FALSE,1,"15215","AUS","West Coast Ranges","AUS",1.07286051759547e-06
26933,2350071871.94573,496711.206339955,1977,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000211360006589375
26933,2350071871.94573,16628.4973345324,1979,FALSE,1,"15215","AUS","West Coast Ranges","AUS",7.07573990950537e-06
26933,2350071871.94573,1458840.81476766,1983,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000620764340096466
26933,2350071871.94573,52964.1356333047,1984,FALSE,1,"15215","AUS","West Coast Ranges","AUS",2.25372407821099e-05
26933,2350071871.94573,380176.247786179,1987,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000161772179108468
26933,2350071871.94573,2774976.3486864,1988,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00118080488593264
26933,2350071871.94573,1029551.4261903,1989,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0004380935912985
26933,2350071871.94573,3413954.87110705,1991,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.0014527023244955
26933,2350071871.94573,110069172.07445,1992,FALSE,3,"15215","AUS","West Coast Ranges","AUS",0.0468365131247321
26933,2350071871.94573,274107.397654966,1995,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000116637878580292
26933,2350071871.94573,108587.11940828,1996,FALSE,1,"15215","AUS","West Coast Ranges","AUS",4.62058717031387e-05
26933,2350071871.94573,40515.4612275362,1997,FALSE,1,"15215","AUS","West Coast Ranges","AUS",1.7240094531233e-05
26933,2350071871.94573,24279.0197391293,1998,FALSE,1,"15215","AUS","West Coast Ranges","AUS",1.03311817944647e-05
26933,2350071871.94573,4395154.75616974,1999,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00187022142115627
26933,2350071871.94573,84175.9917807579,2000,FALSE,2,"15215","AUS","West Coast Ranges","AUS",3.58184755052043e-05
26933,2350071871.94573,801361.450792625,2001,FALSE,3,"15215","AUS","West Coast Ranges","AUS",0.00034099444376956
26933,2350071871.94573,31662810.3956626,2002,FALSE,5,"15215","AUS","West Coast Ranges","AUS",0.0134731242791513
26933,2350071871.94573,91230.9067513198,2003,FALSE,1,"15215","AUS","West Coast Ranges","AUS",3.88204751694617e-05
26933,2350071871.94573,1082971.78099769,2004,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.000460824961962142
26933,2350071871.94573,803247.980662733,2007,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.000341797197886415
26933,2350071871.94573,33712325.6940278,2008,FALSE,4,"15215","AUS","West Coast Ranges","AUS",0.0143452317763013
26933,2350071871.94573,14060.1383431852,2009,FALSE,1,"15215","AUS","West Coast Ranges","AUS",5.98285461437575e-06
26933,2350071871.94573,1754200.85633187,2010,FALSE,3,"15215","AUS","West Coast Ranges","AUS",0.00074644562035436
26933,2350071871.94573,2772943.20160171,2014,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00117993974341979
26933,2350071871.94573,17050.7010760881,2016,FALSE,1,"15215","AUS","West Coast Ranges","AUS",7.25539558157047e-06
26934,534946224.896777,873266.250454426,1977,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00163243744849855
26934,534946224.896777,239171.832552345,1988,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.000447095093714317
26934,534946224.896777,7621456.06647954,1991,FALSE,3,"15215","AUS","West Coast Ranges","AUS",0.0142471443142723
26934,534946224.896777,389628.824880064,1992,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00072835138701137
26934,534946224.896777,6098499.40217991,1993,FALSE,2,"15215","AUS","West Coast Ranges","AUS",0.0114002101862793
26934,534946224.896777,932873.525451034,2004,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.00174386411574554
29803,36769681.2228267,1553087.77906322,1966,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0422382715164543
29803,36769681.2228267,18136566.1391893,1985,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.49324784811923
29803,36769681.2228267,797027.996081114,2007,FALSE,1,"15215","AUS","West Coast Ranges","AUS",0.0216762280654834
29803,36769681.2228267,0.0248238872736692,2018,FALSE,1,"15215","AUS","West Coast Ranges","AUS",6.75118370573703e-10
