"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
15805,430366832.935699,258055081.204635,2008,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",TRUE,"18695;18696",TRUE,"",0.59961656302448
15806,243832507.781486,95600476.3619487,1982,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.392074367900209
15806,243832507.781486,5949267.43399198,2016,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.0243989921119275
15808,292571449.275952,0,0,FALSE,0,"18695","IDN","West Sumatra Highlands","IDN",NA,NA,NA,"no pas overlapping kba",0
15809,1454885713.60503,1365646012.5626,2009,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.938662054202662
15810,1215368821.10813,920521578.982864,2014,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.75740101522727
15820,12971889340.3984,12067432470.8983,2004,FALSE,1,"18695","IDN","West Sumatra Highlands","IDN",TRUE,"18694;18695",TRUE,"",0.930275625564938
15820,12971889340.3984,612100333.378855,2011,FALSE,1,"18695","IDN","West Sumatra Highlands","IDN",TRUE,"18694;18695",TRUE,"",0.047186675534811
15842,2381135843.55537,4558731.78361715,1999,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.001914519827147
15842,2381135843.55537,19374239.5167451,2009,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.00813655364064261
15843,911278917.352733,748311.634733632,2009,TRUE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.000821166407434816
23030,139170037.040623,16366098.5996674,2004,FALSE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.117597860485517
23030,139170037.040623,77977354.5931766,2011,FALSE,1,"18695","IDN","West Sumatra Highlands","IDN",FALSE,"18695",TRUE,"",0.560302750874566
23051,8792891.50007209,0,0,FALSE,0,"18695","IDN","West Sumatra Highlands","IDN",NA,NA,NA,"no pas overlapping kba",0
