"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
14269,480083.174186181,0,0,FALSE,0,"14469","TWN","Western Foothills","TWN",NA,NA,NA,"no pas overlapping kba",0
14270,1899792.90815093,140658.594788447,1994,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.0740389092858283
14271,1916605.41603655,471839.132520199,1986,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.246184805997231
14272,6289858.01819736,1604506.33246993,1993,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.255094205279021
14272,6289858.01819736,0.820609280575565,1997,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",1.30465469681738e-07
14275,5557076.59772348,0,0,FALSE,0,"14469","TWN","Western Foothills","TWN",NA,NA,NA,"no pas overlapping kba",0
14276,81698797.8662545,78820630.4300106,1992,FALSE,1,"14469","TWN","Western Foothills","TWN",TRUE,"14469;11412",TRUE,"",0.964770994048706
14276,81698797.8662545,284041.750453244,2000,FALSE,1,"14469","TWN","Western Foothills","TWN",TRUE,"14469;11412",TRUE,"",0.00347669436848063
14277,25920373.9641528,12477209.6387103,2001,FALSE,2,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.481366883670967
14279,2827845.35856785,2744763.57830739,2004,FALSE,2,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.970620111878205
14280,155670014.407714,14601807.5812945,1992,FALSE,1,"14469","TWN","Western Foothills","TWN",TRUE,"14469;11412",TRUE,"",0.093799744522738
14280,155670014.407714,4121319.53749868,2000,FALSE,1,"14469","TWN","Western Foothills","TWN",TRUE,"14469;11412",TRUE,"",0.0264747167473408
14281,28653025.7265632,22661724.4617493,1995,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.790901619885136
14281,28653025.7265632,688771.936341421,1998,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",0.0240383665904745
14283,61855808.6829686,0,0,FALSE,0,"14469","TWN","Western Foothills","TWN",NA,NA,NA,"no pas overlapping kba",0
47196,113671931.522878,113671931.546731,1985,FALSE,1,"14469","TWN","Western Foothills","TWN",FALSE,"14469",TRUE,"",1.00000000020984
