"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
373,765692251.809094,692267864.857401,1995,FALSE,1,"19496","PRT;ESP","Western Sierra Morena (nn)","PRT",FALSE,"19496",TRUE,"",0.904107183038337
373,765692251.809094,65313316.648095,1999,FALSE,2,"19496","PRT;ESP","Western Sierra Morena (nn)","PRT",FALSE,"19496",TRUE,"",0.0852996964430289
379,835722942.706085,702623.524102606,1995,FALSE,1,"19496","PRT;ESP","Western Sierra Morena (nn)","PRT",FALSE,"19496",TRUE,"",0.000840737388191712
379,835722942.706085,816919797.098455,1999,FALSE,2,"19496","PRT;ESP","Western Sierra Morena (nn)","PRT",FALSE,"19496",TRUE,"",0.977500742594495
379,835722942.706085,1241412.46690268,2008,FALSE,1,"19496","PRT;ESP","Western Sierra Morena (nn)","PRT",FALSE,"19496",TRUE,"",0.00148543542777821
1856,517858254.057676,3220248.97533652,2003,FALSE,1,"19496","PRT;ESP","Western Sierra Morena (nn)","ESP",FALSE,"19496",TRUE,"",0.00621839847121152
1856,517858254.057676,5097562.30807051,2006,FALSE,3,"19496","PRT;ESP","Western Sierra Morena (nn)","ESP",FALSE,"19496",TRUE,"",0.00984354747293989
1856,517858254.057676,1.5612017590917,2015,FALSE,2,"19496","PRT;ESP","Western Sierra Morena (nn)","ESP",FALSE,"19496",TRUE,"",3.01472796244708e-09
1943,565879001.08054,165213080.613111,2006,FALSE,2,"19496","PRT;ESP","Western Sierra Morena (nn)","ESP",TRUE,"15091;19496",TRUE,"",0.291958316703108
1943,565879001.08054,1.58095172349887,2015,FALSE,2,"19496","PRT;ESP","Western Sierra Morena (nn)","ESP",TRUE,"15091;19496",TRUE,"",2.7937981803178e-09
