"SitRecID","kba","ovl","year","random","nPAs","percPA","ISO","COUNTRY"
23528,2176344675.4085,261622944.786625,1966,FALSE,1,0.120212091284446,"SUR","Suriname"
23528,2176344675.4085,116189149.246493,1985,FALSE,1,0.0533872922609026,"SUR","Suriname"
23528,2176344675.4085,1412694776.01271,1986,FALSE,1,0.649113530579687,"SUR","Suriname"
23529,1444003555.03879,1436178467.25154,1987,FALSE,1,0.994580977477552,"SUR","Suriname"
23530,3335129373.39613,480784631.87502,1961,FALSE,1,0.144157715652704,"SUR","Suriname"
23530,3335129373.39613,28418933.1752729,1969,FALSE,1,0.0085210886875834,"SUR","Suriname"
23530,3335129373.39613,34644630.7246628,1986,FALSE,1,0.0103877921501391,"SUR","Suriname"
23531,662577630.764009,595793021.747781,1986,TRUE,2,0.899204854019565,"SUR","Suriname"
23531,662577630.764009,59776171.9420624,1987,TRUE,1,0.0902176124979276,"SUR","Suriname"
23532,16004433977.4057,10658710920.5164,1998,FALSE,1,0.665984872414971,"SUR","Suriname"
23532,16004433977.4057,4555453932.88265,2000,FALSE,1,0.284636991180932,"SUR","Suriname"
23533,5612947387.99313,155691951.787443,1998,FALSE,1,0.0277380030535276,"SUR","Suriname"
23533,5612947387.99313,23097217.3155343,2000,FALSE,1,0.00411498909912151,"SUR","Suriname"
23534,774853186.500164,737010591.343128,1972,FALSE,1,0.951161593168427,"SUR","Suriname"
23535,274050844.59482,266619470.428119,1986,FALSE,1,0.972883228374324,"SUR","Suriname"
23536,158818415.782281,121207142.575693,1969,FALSE,1,0.763180654955351,"SUR","Suriname"
23537,288425783.947803,0,0,FALSE,0,0,"SUR","Suriname"
23538,788442763.318508,0,0,FALSE,0,0,"SUR","Suriname"
23539,16825331592.836,247721906.686769,1998,FALSE,1,0.0147231515361187,"SUR","Suriname"
23539,16825331592.836,8093267.78716402,2000,FALSE,1,0.000481016837172471,"SUR","Suriname"
23540,2613245264.63929,0,0,FALSE,0,0,"SUR","Suriname"
NA,0,0,0,FALSE,0,NA,"SUR","Suriname"
NA,0,0,0,FALSE,0,NA,"SUR","Suriname"
NA,0,0,0,FALSE,0,NA,"SUR","Suriname"
