"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
6775,1020159701.20318,1020135941.89256,1934,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","RWA",FALSE,"19329",TRUE,"",0.999976710204703
6821,658941098.106884,1755334.5488126,1946,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","SSD",FALSE,"19329",TRUE,"",0.00266387170849659
6821,658941098.106884,1.77444890141487e-05,1948,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","SSD",FALSE,"19329",TRUE,"",2.69287938863246e-14
6821,658941098.106884,130355181.942975,1954,FALSE,2,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","SSD",FALSE,"19329",TRUE,"",0.197825241614889
6977,3795669188.17655,951280203.542339,1957,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.25062252698564
6980,13686959935.4871,8260113.33959211,1948,TRUE,2,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.00060350241240756
6980,13686959935.4871,7803323.95645743,1956,TRUE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.000570128355254786
6980,13686959935.4871,146192070.826053,1962,TRUE,2,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.0106811206809345
6980,13686959935.4871,8360388763.40288,1969,TRUE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.610828759842155
6980,13686959935.4871,5154175590.25479,2000,TRUE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.376575632174622
6987,1503879222.58439,834.519641306332,1934,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",5.54911344457719e-07
7050,1047160471.62585,526856159.851865,1929,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",TRUE,"11785;13004;19329",TRUE,"",0.503128387795093
7050,1047160471.62585,70174938.8674418,2002,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",TRUE,"11785;13004;19329",TRUE,"",0.0670145032866701
7050,1047160471.62585,2533920.86125967,2019,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",TRUE,"11785;13004;19329",TRUE,"",0.00241980186410725
7051,369147176.855259,303444.700454999,1963,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.000822015498100311
7051,369147176.855259,351308179.57873,1982,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.951675108479773
7063,185972146.811445,156708588.243994,1946,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.842645476383514
7063,185972146.811445,16306589.8667026,1948,FALSE,2,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.0876829683707191
7063,185972146.811445,233213.038641738,1954,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.00125402132867881
28623,221710171.299961,34315515.5128675,1968,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","TZA",FALSE,"19329",TRUE,"",0.154776460239348
28629,300632348.234952,300626957.21725,1932,FALSE,1,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","UGA",FALSE,"19329",TRUE,"",0.999982067739103
28700,67044428.6754854,0,0,FALSE,0,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","BDI",NA,NA,NA,"no pas overlapping kba",0
46986,274666458.579606,0,0,FALSE,0,"19329","RWA;SSD;TZA;UGA;BDI","Albertine Rift Mountains (nn)","RWA",NA,NA,NA,"no pas overlapping kba",0
