"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
2812,207689378.69698,182035130.204292,2009,FALSE,1,"14781","ITA","Monti Limbara","ITA",TRUE,"14779;14781",TRUE,"",0.876477802314012
2812,207689378.69698,57019.3517541173,2019,FALSE,1,"14781","ITA","Monti Limbara","ITA",TRUE,"14779;14781",TRUE,"",0.000274541491297486
2815,293291329.550896,82283341.2443389,2009,FALSE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.280551564106364
2815,293291329.550896,103900709.965966,2017,FALSE,2,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.354257693621781
45285,1759989075.10961,206848831.673875,1988,TRUE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.117528474806579
45285,1759989075.10961,15090394.6499063,1994,TRUE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.00857414109173742
45285,1759989075.10961,1381760969.46262,2001,TRUE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.78509633326932
45285,1759989075.10961,NA,2009,TRUE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",NA
45285,1759989075.10961,21772046.6606753,2017,TRUE,4,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",0.0123705578452635
45285,1759989075.10961,0.000818281434476376,2018,TRUE,1,"14781","ITA","Monti Limbara","ITA",FALSE,"14781",TRUE,"",4.64935519230659e-13
