"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
15801,617836450.252824,0,0,FALSE,0,"18696","IDN","North Sumatra Highlands","IDN",NA,NA,NA,"no pas overlapping kba",0
15817,1284476218.19432,1229345.96519651,2007,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.000957079584489842
18507,1156059178.6612,680340529.537137,2009,TRUE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.588499743001928
23049,1142626730.80865,0,0,FALSE,0,"18696","IDN","North Sumatra Highlands","IDN",NA,NA,NA,"no pas overlapping kba",0
23050,40827653.7333956,5282523.04847335,2007,TRUE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.129385907967384
23070,1687920792.69641,72122758.8279126,1994,TRUE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.0427287578540332
23070,1687920792.69641,27813005.697955,2007,TRUE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.0164776723044714
23070,1687920792.69641,51011649.4143534,2009,TRUE,2,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.0302215895645575
23074,140275724.997294,0,0,FALSE,0,"18696","IDN","North Sumatra Highlands","IDN",NA,NA,NA,"no pas overlapping kba",0
15844,333403617.589489,268058721.354786,1997,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.804006637039074
15844,333403617.589489,175547.989137555,1998,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.00052653294648321
15844,333403617.589489,21769.4193850155,1999,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",6.52944906309313e-05
15844,333403617.589489,45410.4405980674,2004,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.000136202603098267
15844,333403617.589489,1258.75873203042,2009,FALSE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",3.77548012565448e-06
23029,122728621.554621,16832449.5309107,2009,TRUE,1,"18696","IDN","North Sumatra Highlands","IDN",FALSE,"18696",TRUE,"",0.137151785114928
