"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6508,268315962.036411,190757682.282775,1994,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.710944219773584
6510,37868101.1006714,33513816.599389,1994,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.885014448184063
6513,554033810.199114,454611209.242388,1991,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.820547773210819
6513,554033810.199114,2720301.47905982,2005,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.00490999182537645
6507,149254187.330654,0,0,FALSE,0,"11131","MAR","Anti-Atlas Range","MAR",0
6514,40775149.2850165,27554642.1257772,1994,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.675770478071619
6515,3520010231.01388,1749056651.08098,1994,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.49688964982843
7229,4562130365.73688,617749098.006964,1994,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.135408032757342
7229,4562130365.73688,109687285.7879,2005,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.0240429968007244
31743,1672196524.63403,141985829.242072,1994,FALSE,3,"11131","MAR","Anti-Atlas Range","MAR",0.0849097741505873
6516,354733798.993492,154321758.304244,1994,FALSE,3,"11131","MAR","Anti-Atlas Range","MAR",0.43503539482877
6516,354733798.993492,46672023.9113017,2005,FALSE,1,"11131","MAR","Anti-Atlas Range","MAR",0.1315691485946
