"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
163,41331152.1022867,26430625.8378332,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.639484371798357
173,36863469.2933273,16629519.487608,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.45111108114336
173,36863469.2933273,14766151.5538878,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.400563263223862
772,70323841.801963,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
773,203954065.122136,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
774,43896823.9957867,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
822,42486614.6959202,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
823,34125399.615011,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
824,333365959.834019,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
828,3898260.39232421,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
830,114241469.125095,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
831,335107303.202098,48017110.0520052,2013,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0.143288760325963
3137,45906153.3868179,14148.6811453104,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.000308208815190628
8067,5267139.48908198,5264071.27127856,1975,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.999417479295967
8068,5116538609.11575,4559557951.55956,1975,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.891141120959419
8069,36091401.4843295,36087017.8980026,1975,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.999878542086297
9587,182124551.663043,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9588,76567212.6762118,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9589,300528444.77213,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9616,23733610.1635721,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9617,196506211.264607,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9623,621966908.565607,4666221.71020225,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0.00750236330251651
9624,33969903.7081333,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9625,382428658.679634,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
9632,17373976.9028611,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
19754,23445593.4399819,141265.124843121,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00602523135977529
19754,23445593.4399819,6124182.16322951,2011,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.261208238507877
19762,102955840.440799,232769.404459655,1987,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00226086644004913
19764,132217332.197155,1197163.90232199,2009,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00905451564048237
19764,132217332.197155,991355.730989993,2011,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00749792568429484
19766,193627959.441575,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
24074,5519690525.75113,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24297,107865119.555114,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24299,261926465.147462,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24300,161028394.377234,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24301,193927235.292781,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24303,289047858.046891,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24304,141070595.907108,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24305,12393605.7746642,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24306,1030202801.65671,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24308,18560727.8804197,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24309,92729866.1653748,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24310,95873344.1922083,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
24311,1088478498.53133,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
180,66818040.1827879,49750560.6838856,2003,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.744567792586966
829,186883879.119883,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
19755,59230477.5876305,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
19763,25403416.4793077,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
24078,617211843.301825,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
46760,10726428.4773001,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
46758,1124795304.24619,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
46759,166556755.680446,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","TUR",0
46740,1643422336.64556,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0
46738,3269714719.95634,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0
8063,262256353.825434,1534134.63141021,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.0058497520042217
46737,844839894.655411,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0
46734,101264229.517077,2208105.65003065,1967,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.0218053863695104
46734,101264229.517077,11528673.3060237,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.11384744011783
46739,1046237066.70594,993414463.869417,1967,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.949511822399069
46739,1046237066.70594,569139.04364568,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.000543986694562067
8064,1059862383.85301,942797481.257828,1975,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.889547072923183
8065,3691373267.04187,833720980.33931,1973,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.225856590495228
8065,3691373267.04187,903697.70047465,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",0.000244813416335661
8065,3691373267.04187,71958.5783942938,2009,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","IRN",1.94937149913205e-05
25053,272818347.201082,211067010.424273,2009,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.773654017736223
25053,272818347.201082,872446.73817189,2011,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.0031979034662535
46709,536004795.968115,2075555.90888572,1967,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.00387227115223272
46709,536004795.968115,380735519.894907,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.710321106749119
46709,536004795.968115,18365903.6684499,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.0342644390621132
46709,536004795.968115,17419642.9790478,2003,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.0324990431243904
46705,462300473.585201,459052576.05186,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.99297448798148
25050,35619971.2666035,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
25047,38459919.0622993,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
25051,57187324.753494,32267.3554608822,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.000564239638765594
46698,1031555771.032,2135093.11055988,1987,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00206977961882164
25045,56234056.0075084,0,0,FALSE,0,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0
46744,1234759524.44685,422042.570988201,1958,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.000341801429859203
46744,1234759524.44685,26903914.3319108,1989,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.0217887886663303
46744,1234759524.44685,369805.660993874,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.000299496099177321
46744,1234759524.44685,4733672.70856161,2003,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00383367985007626
46744,1234759524.44685,441870224.864607,2009,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.357859337074204
25046,171582160.741994,1619993.99881822,2007,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.00944150599230525
174,468261242.456403,179462015.368001,1969,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.383251909610498
174,468261242.456403,426756.162413031,1989,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.000911363409395907
174,468261242.456403,256103945.652523,2003,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.546925353695843
174,468261242.456403,5151832.24713802,2009,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","AZE",0.011002047105399
19757,246440650.149885,63263986.8849454,1958,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.256710842332498
19757,246440650.149885,50086667.6216959,2009,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.203240283578351
3135,1211234295.08611,228691520.421477,1958,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.188808656879402
3135,1211234295.08611,12897235.5729263,1993,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.0106480105667826
3135,1211234295.08611,19948556.0447164,2011,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.0164696096582191
19761,333313165.0382,38047962.8506308,1958,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.114150795232676
19761,333313165.0382,88807936.5270271,2009,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.266439930498542
19768,232359544.413093,644916.166554928,1989,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.0027755096877294
19768,232359544.413093,2835404.52794728,2003,FALSE,1,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.0122026600418292
19768,232359544.413093,138105724.781208,2009,FALSE,2,"12118","AZE;TUR;ARM;IRN","Armenian Highlands","ARM",0.59436217750402
