"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
31246,13764806.9303359,122100.457904525,1877,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00887048096805708
31246,13764806.9303359,26859.2459260973,1959,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00195129841355804
31246,13764806.9303359,80296.2865742007,1977,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0058334480810797
31246,13764806.9303359,1443851.06052522,1985,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.104894392477322
31246,13764806.9303359,204533.391755383,1989,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.014859154421165
31246,13764806.9303359,538.472252432257,1998,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",3.91194918430371e-05
31246,13764806.9303359,203569.834513938,1999,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0147891529132381
31246,13764806.9303359,862.708606191911,2000,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",6.26749514583171e-05
31246,13764806.9303359,2220.54287598851,2003,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.000161320306723279
31246,13764806.9303359,101164.734348596,2014,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00734952076411922
44605,25030286.0352154,2708834.45241909,1972,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.108222273153731
44605,25030286.0352154,1541716.31939488,1987,FALSE,3,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0615940352110168
44605,25030286.0352154,187418.748836948,2008,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0074876790689993
44608,297093725.546408,799497.56844281,1867,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0026910617751095
44608,297093725.546408,37957.1113241985,1882,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.000127761403423747
44608,297093725.546408,29650.7577102629,1891,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",9.98027058825626e-05
44608,297093725.546408,2617386.4688988,1979,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00880996885439084
44608,297093725.546408,24289777.2109451,1987,FALSE,11,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.0817579609474146
44608,297093725.546408,331253.399286446,1988,FALSE,4,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00111497945194639
44608,297093725.546408,2100097.56862044,2004,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.00706880485193011
44608,297093725.546408,27611.5386452824,2005,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",9.29388144919583e-05
44608,297093725.546408,104228.071569994,2015,FALSE,1,"13165","NZL","Banks Peninsula","NZL",FALSE,"13165",TRUE,"",0.000350825556407494
44641,12341201866.5067,1779.30140612414,1877,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.44175699042171e-07
44641,12341201866.5067,159559.920985855,1955,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.29290423016977e-05
44641,12341201866.5067,20091.5258926321,1958,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.62800399101804e-06
44641,12341201866.5067,7146.90139374789,1959,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",5.79109026094467e-07
44641,12341201866.5067,22.9493670165539,1978,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.85957310031831e-09
44641,12341201866.5067,4544.72486703284,1979,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",3.68256261925913e-07
44641,12341201866.5067,17478.0419487301,1985,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.41623499378651e-06
44641,12341201866.5067,250303.238521432,1987,FALSE,9,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",2.02819175335541e-05
44641,12341201866.5067,84992.3075612886,1988,FALSE,2,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",6.88687442930117e-06
44641,12341201866.5067,2136602.45577579,1999,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",0.00017312758343046
44641,12341201866.5067,1761.07283443213,2011,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",1.42698649084704e-07
44641,12341201866.5067,5024293.24443135,2014,FALSE,1,"13165","NZL","Banks Peninsula","NZL",TRUE,"13165;13749",TRUE,"",0.000407115392712844
