"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
2742,434386677.433264,1067023.54286968,1983,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",0.00245639104121376
2742,434386677.433264,27070.3416273743,2002,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",6.23185356128542e-05
2742,434386677.433264,56372.8272601105,2003,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",0.000129775681872221
2742,434386677.433264,390550941.869169,2005,FALSE,2,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",0.899085911605036
2742,434386677.433264,26.0323131764828,2013,FALSE,3,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",5.99288940680788e-08
2742,434386677.433264,NA,2016,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",NA
2742,434386677.433264,8437.9069177307,2018,FALSE,2,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",1.94248750159402e-05
2742,434386677.433264,3640.05874136265,2019,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15445;15452",TRUE,"",8.37976607126005e-06
2895,179112884.455698,4969382.52796745,1996,FALSE,1,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15452;15454;15456",TRUE,"",0.0277444168411937
2895,179112884.455698,15946067.298161,2013,FALSE,2,"15452","ITA;AUT","Carnic Alps","ITA",TRUE,"15452;15454;15456",TRUE,"",0.0890280302649311
3247,28107435.7425551,766228.585638165,1970,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",0.027260707545729
3247,28107435.7425551,389737.003070615,1971,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",0.0138659750622696
3247,28107435.7425551,7814734.58961189,2000,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",0.278030862053355
3247,28107435.7425551,0.00191831588745117,2002,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",6.82494093385691e-11
3247,28107435.7425551,NA,2003,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",NA
3247,28107435.7425551,NA,2005,FALSE,1,"15452","ITA;AUT","Carnic Alps","AUT",TRUE,"15452;15453;15457",TRUE,"",NA
24237,17373633.9394758,0,0,FALSE,0,"15452","ITA;AUT","Carnic Alps","ITA",NA,NA,NA,"no pas overlapping kba",0
