"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
592,96306151.3412727,8651144.81070781,1990,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"18983;18988",TRUE,"",0.0898296182561736
592,96306151.3412727,72305512.2440263,1994,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"18983;18988",TRUE,"",0.750788098548377
592,96306151.3412727,680113.540400465,1996,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"18983;18988",TRUE,"",0.00706199480436508
592,96306151.3412727,41866.8478082947,2006,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",TRUE,"18983;18988",TRUE,"",0.00043472662156267
672,149342218.007693,925.181459707092,1985,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",6.19504298281838e-06
672,149342218.007693,338829.62306374,1994,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.00226881338434579
672,149342218.007693,270811.59235871,1996,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.00181336259747233
672,149342218.007693,4284924.59175676,2003,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.0286919844161952
672,149342218.007693,9520517.06406113,2004,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.0637496696585201
672,149342218.007693,27279104.4278978,2006,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.182661706728452
672,149342218.007693,1855563.47445099,2009,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.0124249090391533
672,149342218.007693,25488.6095465962,2010,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.000170672498953265
672,149342218.007693,331174.182668254,2018,FALSE,1,"18983","IRL","Dunkerron Mountains","IRL",FALSE,"18983",TRUE,"",0.00221755232436145
