"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
6149,170226048.874279,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0
6150,44631448.2188391,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0
6151,142777842.820872,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0
6153,145505468.732599,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0
6154,402625692.824635,22833109.3006162,2013,FALSE,1,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0.0567105122885468
6155,153628636.767752,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","DJI",0
6234,687394354.226024,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ERI",0
6242,852791982.829169,65883354.7617348,1973,FALSE,1,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0.0772560672336111
6244,4146438871.40144,2459019535.84961,1969,FALSE,1,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0.593043720675544
6244,4146438871.40144,439245954.569747,1973,FALSE,2,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0.1059333004037
6277,6487961.39751828,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
6286,182188377.215696,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
6291,932739125.634617,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
6294,11929263621.6972,6545571.83508635,1973,FALSE,1,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0.000548698733019961
6295,199672110.721891,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
6302,4338744934.75018,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
6859,2059855109.69205,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
6860,5470659352.00864,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
6862,435892517.539173,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
6863,442454274.361867,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
6864,9617525882.61683,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
28725,796915699.801924,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
28728,1609299905.1695,1609299905.1695,1973,FALSE,1,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",1
47182,293148080.120559,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","SOM",0
6296,913286026.146889,0,0,FALSE,0,"14260","DJI;ERI;ETH;SOM","Horn of Africa Highlands","ETH",0
