"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
16349,356056402.047363,8018358.88786316,2012,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.022519912131215
16350,1043231619.4603,752699631.427756,2000,FALSE,2,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.721507685720987
28294,368779739.847836,0,0,FALSE,0,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0
28297,2938386773.50582,3394326.37996727,1992,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.0011551666412919
28297,2938386773.50582,2906077488.84202,1993,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.989004413933824
28301,12336977616.8216,12305852585.8173,1992,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.997477094311826
28307,499656772.777614,499583739.430615,1993,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.999853832968995
28318,350071486.322512,0,0,FALSE,0,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0
28319,457425699.354771,454474076.020157,1993,FALSE,1,"13955","MNG;RUS","Khentei-Daur Highlands","MNG",0.993547316342791
32066,2016197389.7881,0,0,FALSE,0,"13955","MNG;RUS","Khentei-Daur Highlands","RUS",0
32068,5834569005.09768,15038071.2207521,2000,FALSE,2,"13955","MNG;RUS","Khentei-Daur Highlands","RUS",0.00257740909527564
