"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
29499,101691054.264836,22753669.3703254,2004,TRUE,1,"12443","USA","Klamath Mountains","USA",0.223752910566426
29499,101691054.264836,597460.814671338,2013,TRUE,1,"12443","USA","Klamath Mountains","USA",0.00587525440650227
30176,267066.173004359,267066.173004359,1970,FALSE,1,"12443","USA","Klamath Mountains","USA",1
30179,1714418.590167,1713134.19230734,1970,FALSE,1,"12443","USA","Klamath Mountains","USA",0.99925082598437
30192,415425.979127916,413938.469934095,1970,FALSE,1,"12443","USA","Klamath Mountains","USA",0.996419315910518
31191,52603798.3796053,3302077.75167051,1968,FALSE,2,"12443","USA","Klamath Mountains","USA",0.0627726105982252
31191,52603798.3796053,NA,1980,FALSE,1,"12443","USA","Klamath Mountains","USA",NA
31191,52603798.3796053,2318.70975016057,2012,FALSE,1,"12443","USA","Klamath Mountains","USA",4.40787513751012e-05
31204,275127.834960505,55494.3021633476,1979,FALSE,1,"12443","USA","Klamath Mountains","USA",0.201703699559566
31204,275127.834960505,0.0691594153460073,2009,FALSE,1,"12443","USA","Klamath Mountains","USA",2.51371931727428e-07
31204,275127.834960505,110792.119162809,2012,FALSE,1,"12443","USA","Klamath Mountains","USA",0.402693239594292
31203,4854022.9878118,1971344.6833365,1968,FALSE,2,"12443","USA","Klamath Mountains","USA",0.406125947134251
31203,4854022.9878118,NA,1980,FALSE,1,"12443","USA","Klamath Mountains","USA",NA
31203,4854022.9878118,NA,2012,FALSE,1,"12443","USA","Klamath Mountains","USA",NA
