"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
16489,2178745.22732139,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16490,180298993.01534,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16492,132037882.539489,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16493,1808598.03975439,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16494,27145030.2596285,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16495,11269811.5705261,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16496,171267911.330788,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16497,32515513.0007328,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
16500,12938128048.2488,2492253457.34014,1987,FALSE,1,"11539","RUS","Koryak Mountains","RUS",0.192628597278219
16500,12938128048.2488,9873890461.05925,1994,FALSE,1,"11539","RUS","Koryak Mountains","RUS",0.763162215139438
16500,12938128048.2488,179774.241376877,1995,FALSE,2,"11539","RUS","Koryak Mountains","RUS",1.38949190104213e-05
16596,8264004325.59806,7109482840.99786,1971,FALSE,3,"11539","RUS","Koryak Mountains","RUS",0.860295150012927
16599,1524401723.8117,0,0,FALSE,0,"11539","RUS","Koryak Mountains","RUS",0
45734,19111351851.5744,23420873.053669,1971,FALSE,1,"11539","RUS","Koryak Mountains","RUS",0.00122549536189611
16491,520810203.750874,118974.538717747,1995,FALSE,1,"11539","RUS","Koryak Mountains","RUS",0.000228441259139879
