"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
45320,34859980.768644,26520410.6537771,2010,FALSE,1,"14288","COM","Ndzuwani","COM",FALSE,"14288",TRUE,"",0.760769514756353
45323,26498535.833033,25974358.7524976,2010,FALSE,1,"14288","COM","Ndzuwani","COM",FALSE,"14288",TRUE,"",0.980218639858512
45324,20875255.4165983,0,0,FALSE,0,"14288","COM","Ndzuwani","COM",NA,NA,NA,"no pas overlapping kba",0
45327,56955311.6339383,35841201.6712965,2010,FALSE,1,"14288","COM","Ndzuwani","COM",FALSE,"14288",TRUE,"",0.629286376337542
45328,11412757.9581776,0,0,FALSE,0,"14288","COM","Ndzuwani","COM",NA,NA,NA,"no pas overlapping kba",0
45329,41134673.1084023,0,0,FALSE,0,"14288","COM","Ndzuwani","COM",NA,NA,NA,"no pas overlapping kba",0
45331,12735986.4964476,0,0,FALSE,0,"14288","COM","Ndzuwani","COM",NA,NA,NA,"no pas overlapping kba",0
45332,22569971.4964024,0,0,FALSE,0,"14288","COM","Ndzuwani","COM",NA,NA,NA,"no pas overlapping kba",0
45334,57489647.9215338,11778962.0966435,2010,FALSE,1,"14288","COM","Ndzuwani","COM",FALSE,"14288",TRUE,"",0.204888402042752
6454,86945478.0846556,55109678.8668271,2010,FALSE,1,"14288","COM","Ndzuwani","COM",FALSE,"14288",TRUE,"",0.633841806162349
