"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
21820,1385109.4713696,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21826,316861596.324185,55628272.5701837,1950,FALSE,1,"12605","NCL","New Caledonia","NCL",0.17556016006834
21826,316861596.324185,3875171.15732479,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.012229854303202
21827,365088591.389816,1759980.78902623,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.00482069511492088
21828,69815729.5003232,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21829,82703741.9998753,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21830,102169535.088036,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21831,95179863.0119775,54701519.440959,1975,FALSE,1,"12605","NCL","New Caledonia","NCL",0.574717358377321
21832,25457305.3132863,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21833,169493756.135578,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21834,54287422.8927252,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21835,134518981.290759,50648439.5579843,2009,FALSE,2,"12605","NCL","New Caledonia","NCL",0.376515188206109
21836,236891872.17914,9297286.41108823,2009,FALSE,1,"12605","NCL","New Caledonia","NCL",0.0392469624456238
21837,34174695.7688393,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21838,205727365.779015,205348022.870488,2009,FALSE,2,"12605","NCL","New Caledonia","NCL",0.998156089215011
21839,78617786.4773057,38131470.8702914,2009,FALSE,1,"12605","NCL","New Caledonia","NCL",0.485023460706296
21840,272255370.60726,3402801.4363327,1981,FALSE,1,"12605","NCL","New Caledonia","NCL",0.0124985649639999
21840,272255370.60726,60054012.1782272,2009,FALSE,2,"12605","NCL","New Caledonia","NCL",0.220579715449792
21841,17992243.9327823,4092375.73085928,1981,FALSE,1,"12605","NCL","New Caledonia","NCL",0.227452214751428
21841,17992243.9327823,446404.478001775,2009,FALSE,1,"12605","NCL","New Caledonia","NCL",0.0248109396287372
21842,53918404.2880346,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
21843,56563553.689297,47359866.2946166,2019,FALSE,1,"12605","NCL","New Caledonia","NCL",0.837285905952159
21844,20385146.5043881,13495810.0503085,2019,FALSE,1,"12605","NCL","New Caledonia","NCL",0.662041356798855
21845,68127306.2095901,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
31317,122304625.97382,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
30998,1302460519.02692,325746911.204605,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.250101178842621
30997,1555293006.62797,279970309.220944,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.180011295638721
30101,24976981415.4137,107399930.776055,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.00429995638743505
30101,24976981415.4137,304773609.477556,2009,FALSE,1,"12605","NCL","New Caledonia","NCL",0.0122021794550992
30101,24976981415.4137,14261002084.1929,2014,FALSE,1,"12605","NCL","New Caledonia","NCL",0.570965796346882
30999,1561155696.33391,606096950.812512,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.388236069109456
31330,10915931372.7868,2966433.46451134,1972,FALSE,1,"12605","NCL","New Caledonia","NCL",0.00027175266710696
31330,10915931372.7868,7066080.12022908,1989,FALSE,1,"12605","NCL","New Caledonia","NCL",0.000647318115048313
31330,10915931372.7868,780814.133958012,1990,FALSE,1,"12605","NCL","New Caledonia","NCL",7.15297767357321e-05
31330,10915931372.7868,781706.718675643,1993,FALSE,1,"12605","NCL","New Caledonia","NCL",7.16115457288806e-05
31330,10915931372.7868,400281.365323916,1994,FALSE,1,"12605","NCL","New Caledonia","NCL",3.66694651747088e-05
31330,10915931372.7868,2611590721.69454,2008,FALSE,1,"12605","NCL","New Caledonia","NCL",0.239245798870189
31330,10915931372.7868,2589438934.95668,2009,FALSE,21,"12605","NCL","New Caledonia","NCL",0.237216490881585
31330,10915931372.7868,850048196.069677,2014,FALSE,1,"12605","NCL","New Caledonia","NCL",0.077872255425573
31332,2180257279.39455,2501270.61849096,2009,FALSE,2,"12605","NCL","New Caledonia","NCL",0.00114723644871194
31332,2180257279.39455,291802355.548647,2019,FALSE,1,"12605","NCL","New Caledonia","NCL",0.133838496174947
31339,1030047637.51093,0,0,FALSE,0,"12605","NCL","New Caledonia","NCL",0
23656,782506.326583415,781095.798226655,1990,FALSE,1,"12605","NCL","New Caledonia","NCL",0.998197422424788
23658,9847419.341297,1282403.83067811,2009,FALSE,1,"12605","NCL","New Caledonia","NCL",0.130227401335506
21846,743702000.613048,66741690.3118143,1950,FALSE,2,"12605","NCL","New Caledonia","NCL",0.0897425181817419
21846,743702000.613048,13071111.1634957,1960,FALSE,1,"12605","NCL","New Caledonia","NCL",0.0175757375302486
21846,743702000.613048,100663033.089002,1980,FALSE,2,"12605","NCL","New Caledonia","NCL",0.135353989912658
21846,743702000.613048,131396055.563495,2009,FALSE,7,"12605","NCL","New Caledonia","NCL",0.176678367753727
21846,743702000.613048,64071565.7452768,2012,FALSE,2,"12605","NCL","New Caledonia","NCL",0.0861522030227985
21846,743702000.613048,306.604164719073,2014,FALSE,1,"12605","NCL","New Caledonia","NCL",4.12267500243825e-07
21846,743702000.613048,280653908.57432,2019,FALSE,1,"12605","NCL","New Caledonia","NCL",0.377374147633019
