"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
395,43042169.0301661,42982015.8843714,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.998602460165229
396,16626614.7652344,13268473.1974905,2007,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.798026139706705
396,16626614.7652344,126808.063005055,2008,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00762681187936141
397,59879069.1926742,999879.183223128,1989,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0166983087196261
397,59879069.1926742,1984837.36242983,1990,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0331474318019736
397,59879069.1926742,2107598.28759445,2005,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0351975793212947
397,59879069.1926742,54539736.1411687,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.910831395285638
405,159918389.84483,7758731.54386068,1980,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0485168188060737
405,159918389.84483,7614667.26846254,2000,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0476159575884368
405,159918389.84483,6604906.59691718,2001,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0413017327358409
405,159918389.84483,137726193.567156,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.861227990731975
407,38674761.8453834,48808.1211426593,1962,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00126201478208936
407,38674761.8453834,195834.092687234,1973,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00506361470227414
407,38674761.8453834,1100097.92184718,1975,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0284448531640667
407,38674761.8453834,408264.356268236,1984,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0105563508807223
407,38674761.8453834,1766289.0232493,1986,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0456703270807637
407,38674761.8453834,388524.26172244,1991,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0100459380532376
407,38674761.8453834,8649996.08245691,1992,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.223659970216196
407,38674761.8453834,17972657.1347514,2002,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.464712806936052
407,38674761.8453834,8113950.12082344,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.209799614365098
414,234933260.551082,5834929.70904193,1949,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0248365416431669
414,234933260.551082,111385.458495809,1974,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000474115322089909
414,234933260.551082,10400.3345591333,1977,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",4.42693151865226e-05
414,234933260.551082,1805667.99071268,1985,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00768587634836009
414,234933260.551082,227020034.269402,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.966317130817841
423,111932053.41597,8062.09966301615,1965,FALSE,4,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",7.20267288678712e-05
423,111932053.41597,111590554.372394,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.996949050489522
424,446074395.399404,87964.9294419289,1984,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000197197889744753
424,446074395.399404,1046775.73907226,1999,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00234663937197067
